TOL ID,TBRC RID,Primary name,Wylie title,Wylie name,Wylie script,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Name display phonetic,Name display Wylie,Ordinal,Wikidata ID
3182,P1857,Zhang Yudrakpa Tsondru Drakpa,,zhang g.yu brag pa brtson 'grus grags pa,ཞང་གཡུ་བྲག་པ་བརྩོན་འགྲུས་གྲགས་པ།,1123,0,,,1193,0,,,M,Zhang Yudrakpa Tsondru Drakpa,zhang g.yu brag pa brtson 'grus grags pa,,
3181,P1856,Barompa Darma Wangchuk,,ba' rom pa dar ma dbang phyug,འབའ་རོམ་པ་དར་མ་དབང་ཕྱུག།,1127,0,,,1194,1,,,M,Barompa Darma Wangchuk,ba' rom pa dar ma dbang phyug,,
11877,P910,Lingrepa Pema Dorje,,gling ras pa pad+ma rdo rje,གླིང་རས་པ་པདྨ་རྡོ་རྗེ།,1128,0,,,1188,0,,,M,Lingrepa Pema Dorje,gling ras pa pad+ma rdo rje,,
6547,P4139,Lhachuk Kharwa Nyida O,,lha phyug mkhar ba nyi zla 'od,ལྷ་ཕྱུག་མཁར་བ་ཉི་ཟླ་འོད།,1135,0,,,1215,0,,,M,Lhachuk Kharwa Nyida O,lha phyug mkhar ba nyi zla 'od,,
4175,P2470,Rokam Nyima Sherab,,ro skam nyi ma shes rab,རོ་སྐམ་ཉི་མ་ཤེས་རབ།,1139,0,,,1208,0,,,M,Rokam Nyima Sherab,ro skam nyi ma shes rab,,
4368,P2649,Taklungtangpa Tashi Pel,,stag lung thang pa bkra shis dpal,སྟག་ལུང་ཐང་པ་བཀྲ་ཤིས་དཔལ།,1142,0,,,1209,0,1210,,M,Taklungtangpa Tashi Pel,stag lung thang pa bkra shis dpal,,
2899,P16,Jikten Gonpo Rinchen Pel,,jig rten mgon po rin chen dpal,འཇིག་རྟེན་མགོན་པོ་རིན་ཆེན་དཔལ།,1143,0,,,1217,0,,,M,Jikten Gonpo Rinchen Pel,jig rten mgon po rin chen dpal,,
5,P00AG02484,Gyergom Tsultrim Sengge,,gyer sgom tshul khrims seng+ge,གྱེར་སྒོམ་ཚུལ་ཁྲིམས་སེངྒེ།,1144,0,,,1204,0,,,M,Gyergom Tsultrim Sengge,gyer sgom tshul khrims seng+ge,,
11453,P8711,Nyamme Śākya Yeshe,,mnyam med shAkya ye shes,མཉམ་མེད་ཤཱཀྱ་ཡེ་ཤེས།,1147,0,,,1207,0,,,M,Nyamme Śākya Yeshe,mnyam med shAkya ye shes,,
2798,P1507,Kunden Repa,,kun ldan ras pa,ཀུན་ལྡན་རས་པ།,1148,0,,,1217,0,,,M,Kunden Repa,kun ldan ras pa,,
3890,P2210,Gurawa Tsultrim Dorje,,gu ra ba tshul khrims rdo rje,གུ་ར་བ་ཚུལ་ཁྲིམས་རྡོ་རྗེ།,1154,0,,,1221,0,,,M,Gurawa Tsultrim Dorje,gu ra ba tshul khrims rdo rje,,
11471,P8729,Ngok Kunga Dorje,,rngog kun dga' rdo rje,རྔོག་ཀུན་དགའ་རྡོ་རྗེ།,1158,1,,,1234,0,,,M,Ngok Kunga Dorje,rngog kun dga' rdo rje,,
11865,P909,"The First Drukchen, Tsangpa Gyare Yeshe Dorje",brug chen,gtsang pa rgya ras ye shes rdo rje,གཙང་པ་རྒྱ་རས་ཡེ་ཤེས་རྡོ་རྗེ།,1161,0,,,1211,0,,,M,"The First Drukchen, Tsangpa Gyare Yeshe Dorje",brug chen 01 gtsang pa rgya ras ye shes rdo rje,1,
7637,P5133,Tishri Repa Sherab Sengge,,ti shri ras pa shes rab seng+ge,ཏི་ཤྲི་རས་པ་ཤེས་རབ་སེངྒེ།,1164,0,,,1236,0,,,M,Tishri Repa Sherab Sengge,ti shri ras pa shes rab seng+ge,,
2812,P152,Chokle Namgyel,,phyogs las rnam rgyal,ཕྱོགས་ལས་རྣམ་རྒྱལ།,1306,0,,,1386,0,,,M,Chokle Namgyel,phyogs las rnam rgyal,,
2670,P139,Dolpopa Sherab Gyeltsen,,dol po pa shes rab rgyal mtshan,དོལ་པོ་པ་ཤེས་རབ་རྒྱལ་མཚན།,1292,0,,,1361,0,,,M,Dolpopa Sherab Gyeltsen,dol po pa shes rab rgyal mtshan,,
3936,P2252,Drigung Lotsāwa Maṇikaśrījñāna,,bris gung lo tsA ba ma Ni ka shrI dzya na,འབྲིས་གུང་ལོ་ཙཱ་བ་མ་ཎི་ཀ་ཤྲཱི་ཛྱ་ན།,1289,0,,,1363,0,,,M,Drigung Lotsāwa Maṇikaśrījñāna,bris gung lo tsA ba ma Ni ka shrI dzya na,,
4167,P2463,Drubchen Kunga Lodro,,grub chen kun dga' blo gros,གྲུབ་ཆེན་ཀུན་དགའ་བློ་གྲོས།,1365,0,,,1443,0,,,M,Drubchen Kunga Lodro,grub chen kun dga' blo gros,,
4115,P2414,Gharungwa Lhai Gyeltsen,,g+ha rung ba lha'i rgyal mtshan,གྷ་རུང་བ་ལྷའི་རྒྱལ་མཚན།,1319,0,,,1401,0,,,M,Gharungwa Lhai Gyeltsen,g+ha rung ba lha'i rgyal mtshan,,
5858,P3507,Gorumpa Kunga Lekpa,,sgo rum pa kun dga' legs pa,སྒོ་རུམ་པ་ཀུན་དགའ་ལེགས་པ།,1477,0,,,1544,0,,,M,Gorumpa Kunga Lekpa,sgo rum pa kun dga' legs pa,,
4166,P2462,Jampa Khawoche,,byams pa kha bo che,བྱམས་པ་ཁ་བོ་ཆེ།,,0,,54,,0,,56,M,Jampa Khawoche,byams pa kha bo che,,
4168,P2464,Jamyang Konchok Zangpo,,jam dbyangs dkon mchog bzang po,འཇམ་དབྱངས་དཀོན་མཆོག་བཟང་པོ།,1398,0,,,1475,0,,,M,Jamyang Konchok Zangpo,jam dbyangs dkon mchog bzang po,,
4085,P2387,Kunga Drolchok,,kun dga' grol mchog,ཀུན་དགའ་གྲོལ་མཆོག།,1507,0,,,1566,0,,,M,Kunga Drolchok,kun dga' grol mchog,,
2823,P153,Jonang Lotsāwa Lodro Pel,,jo nang lo tsA ba blo gros dpal,ཇོ་ནང་ལོ་ཙཱ་བ་བློ་གྲོས་དཔལ།,1299,0,,,1354,0,,,M,Jonang Lotsāwa Lodro Pel,jo nang lo tsA ba blo gros dpal,,
13063,P2416,Khenchen Lungrik Gyatso,,mkhan chen lung rigs rgya mtsho,མཁན་ཆེན་ལུང་རིགས་རྒྱ་མཚོ།,,0,,61,,0,,,M,Khenchen Lungrik Gyatso,mkhan chen lung rigs rgya mtsho,,
2790,P150,Yonten Gyatso,,yon tan rgya mtsho,ཡོན་ཏན་རྒྱ་མཚོ།,1260,0,,,1327,0,,,M,Yonten Gyatso,yon tan rgya mtsho,,
2803,P1511,Jangsem Gyelwa Yeshe ,,byang sems rgyal ba ye shes,བྱང་སེམས་རྒྱལ་བ་ཡེ་ཤེས།,1247,0,,,1320,0,,,M,Jangsem Gyelwa Yeshe ,byang sems rgyal ba ye shes,,
13064,P2MS4764,Kunga Pelzang ,,kun dga' dpal bzang,ཀུན་དགའ་དཔལ་བཟང།,1513,0,,,1593,0,,,M,Kunga Pelzang ,kun dga' dpal bzang,,
4150,P2448,Kunga Rinchen Gyatso,,kun dga' rin chen rgya mtsho,ཀུན་དགའ་རིན་ཆེན་རྒྱ་མཚོ།,,0,,66,,0,,68,M,Kunga Rinchen Gyatso,kun dga' rin chen rgya mtsho,,
9482,P2251,Kunpang Chodrak Pelzang,,kun spangs chos grags dpal bzang,ཀུན་སྤངས་ཆོས་གྲགས་དཔལ་བཟང།,1283,1,,,1363,1,,,M,Kunpang Chodrak Pelzang,kun spangs chos grags dpal bzang,,
11307,P858,Tukje Tsondru,,thugs rje brtson 'grus,ཐུགས་རྗེ་བརྩོན་འགྲུས།,1243,0,,,1313,0,,,M,Tukje Tsondru,thugs rje brtson 'grus,,
9030,P644,Gyurme Dechen,,gyur med bde chen,འགྱུར་མེད་བདེ་ཆེན།,1540,0,,,1615,0,,,M,Gyurme Dechen,gyur med bde chen,,
13065,P2417,Lochen Ratnabhadra,,lo chen rat+na bha dra,ལོ་ཆེན་རཏྣ་བྷ་དྲ།,1489,0,,,1563,0,,,M,Lochen Ratnabhadra,lo chen rat+na bha dra,,
3939,P2255,Menchukhawa Lodro Gyeltsen,,sman chu kha ba blo gros rgyal mtshan,སྨན་ཆུ་ཁ་བ་བློ་གྲོས་རྒྱལ་མཚན།,1314,0,,,1389,0,,,M,Menchukhawa Lodro Gyeltsen,sman chu kha ba blo gros rgyal mtshan,,
6278,P3893,Namgyel Drakpa Zangpo,,rnam rgyal grags pa bzang po,རྣམ་རྒྱལ་གྲགས་པ་བཟང་པོ།,1395,0,,,1475,0,,,M,Namgyel Drakpa Zangpo,rnam rgyal grags pa bzang po,,
2712,P1428,Tāranātha,,tA ra nA tha,ཏཱ་ར་ནཱ་ཐ།,1575,0,,,1634,0,,,M,Tāranātha,tA ra nA tha,,
4170,P2466,Namkha Chokyong,,nam mkha' chos skyong,ནམ་མཁའ་ཆོས་སྐྱོང།,1436,0,,,1507,0,,,M,Namkha Chokyong,nam mkha' chos skyong,,
3673,P2010,Nyawon Kunga Pel,,nya dbon kun dga' dpal,ཉ་དབོན་ཀུན་དགའ་དཔལ།,1285,0,,,1379,0,,,M,Nyawon Kunga Pel,nya dbon kun dga' dpal,,
726,P0RK1485,Paṇchen Namkha Pelzang,,paN chen nam mkha' dpal bzang,པཎ་ཆེན་ནམ་མཁའ་དཔལ་བཟང།,1464,0,,,1529,0,,,M,Paṇchen Namkha Pelzang,paN chen nam mkha' dpal bzang,,
4114,P2413,Puntsok Pelzang,,phun tshogs dpal bzang,ཕུན་ཚོགས་དཔལ་བཟང།,1304,0,,,1377,0,,,M,Puntsok Pelzang,phun tshogs dpal bzang,,
3940,P2256,Rinchen Tsultrim,,rin chen tshul khrims,རིན་ཆེན་ཚུལ་ཁྲིམས།,1297,0,,,1368,0,,,M,Rinchen Tsultrim,rin chen tshul khrims,,
2801,P151,Sabzang Mati Paṇchen Lodro Gyeltsen,,sa bzang ma ti paN chen blo gros rgyal mtshan,ས་བཟང་མ་ཏི་པཎ་ཆེན་བློ་གྲོས་རྒྱལ་མཚན།,1294,0,,,1376,0,,,M,Sabzang Mati Paṇchen Lodro Gyeltsen,sa bzang ma ti paN chen blo gros rgyal mtshan,,
3937,P2253,Zhangton Gyawo Sonam Drakpa,,zhang ston rgya bo bsod nams grags pa,ཞང་སྟོན་རྒྱ་བོ་བསོད་ནམས་གྲགས་པ།,1292,0,,,1370,0,,,M,Zhangton Gyawo Sonam Drakpa,zhang ston rgya bo bsod nams grags pa,,
4113,P2412,Tangpo Chungwa Lodro Pel,,thang po chung ba blo gros dpal,ཐང་པོ་ཆུང་བ་བློ་གྲོས་དཔལ།,1313,0,,,1391,0,,,M,Tangpo Chungwa Lodro Pel,thang po chung ba blo gros dpal,,
3938,P2254,Tangpoche Kunga Bum,,thang po che kun dga' 'bum,ཐང་པོ་ཆེ་ཀུན་དགའ་འབུམ།,1331,0,,,1402,0,,,M,Tangpoche Kunga Bum,thang po che kun dga' 'bum,,
4164,P2460,Nyakpuwa Sonam Zangpo,,gnyag phu ba bsod nams bzang po,བསོད་ནམས་བཟང་པོ།,1341,0,,,1433,0,,,M,Nyakpuwa Sonam Zangpo,gnyag phu ba bsod nams bzang po,,
4119,P2418,Orgyen Dzongpa Chokyong Gyeltsen,,o rgyan rdzong pa chos skyong rgyal mtshan,ཨོ་རྒྱན་རྫོང་པ་ཆོས་སྐྱོང་རྒྱལ་མཚན།,1455,1,,,1520,1,,,M,Orgyen Dzongpa Chokyong Gyeltsen,o rgyan rdzong pa chos skyong rgyal mtshan,,
2789,P15,Nyo Gyelwa Lhanangpa Sanggye Rinchen,,gnyos rgyal ba lha nang pa sangs rgyas rin chen,གཉོས་རྒྱལ་བ་ལྷ་ནང་པ་སངས་རྒྱས་རིན་ཆེན།,1164,0,,,1224,0,,,M,Nyo Gyelwa Lhanangpa Sanggye Rinchen,gnyos rgyal ba lha nang pa sangs rgyas rin chen,,
6749,P4322,Yabzang Choje Chokyi Monlam,,g.ya' bzang chos rje chos kyi smon lam,གཡའ་བཟང་ཆོས་རྗེ་ཆོས་ཀྱི་སྨོན་ལམ།,1169,0,,,1233,0,,,M,Yabzang Choje Chokyi Monlam,g.ya' bzang chos rje chos kyi smon lam,,
2806,P1514,Kodrakpa Sonam Gyeltsen,,ko brag pa bsod nams rgyal mtshan,ཀོ་བྲག་པ་བསོད་ནམས་རྒྱལ་མཚན།,1182,1,,,1261,0,,,M,Kodrakpa Sonam Gyeltsen,ko brag pa bsod nams rgyal mtshan,,
6405,P4007,Tropu Lotsāwa Jampa Pel,,khro phu lo tsA ba byams pa dpal,ཁྲོ་ཕུ་ལོ་ཙཱ་བ་བྱམས་པ་དཔལ།,1172,1,,,1236,1,,,M,Tropu Lotsāwa Jampa Pel,khro phu lo tsA ba byams pa dpal,,
2595,P132,Chennga Drakpa Jungne,,spyan snga grags pa 'byung gnas,སྤྱན་སྔ་གྲགས་པ་འབྱུང་གནས།,1175,0,,,1255,0,,,M,Chennga Drakpa Jungne,spyan snga grags pa 'byung gnas,,
11898,P912,Wonre Darma Sengge,,dbon ras dar ma seng+ge,དབོན་རས་དར་མ་སེངྒེ།,1177,0,,,1237,0,,,M,Wonre Darma Sengge,dbon ras dar ma seng+ge,,
10824,P813,Gar Dampa Chodingpa,,mgar dam pa chos sdings pa,མགར་དམ་པ་ཆོས་སྡིངས་པ།,1180,0,,,1240,0,,,M,Gar Dampa Chodingpa,mgar dam pa chos sdings pa,,
10687,P80,"The First Dalai Lama, Gendun Drub",ta la'i bla ma,dge 'dun grub pa,དགེ་འདུན་གྲུབ་པ།,1391,0,,,1474,0,,,M,"The First Dalai Lama, Gendun Drub",ta la'i bla ma 01 dge 'dun grub pa,1,
11114,P84,"The Second Dalai Lama, Gendun Gyatso",ta la'i bla ma,dge 'dun rgya mtsho,དགེ་འདུན་རྒྱ་མཚོ།,1476,0,,,1542,0,,,M,"The Second Dalai Lama, Gendun Gyatso",ta la'i bla ma 02 dge 'dun rgya mtsho,2,
12828,P999,"The Third Dalai Lama, Sonam Gyatso",ta la'i bla ma,bsod nams rgya mtsho,བསོད་ནམས་རྒྱ་མཚོ།,1543,0,,,1588,0,,,M,"The Third Dalai Lama, Sonam Gyatso",ta la'i bla ma 03 bsod nams rgya mtsho,3,
3085,P177,"The Fourth Dalai Lama, Yonten Gyatso",ta la'i bla ma,yon tan rgya mtsho,ཡོན་ཏན་རྒྱ་མཚོ།,1589,0,,,1617,0,,,M,"The Fourth Dalai Lama, Yonten Gyatso",ta la'i bla ma 04 yon tan rgya mtsho,4,
6065,P37,"The Fifth Dalai Lama, Ngawang Lobzang Gyatso",ta la'i bla ma,ngag dbang blo bzang rgya mtsho,ངག་དབང་བློ་བཟང་རྒྱ་མཚོ།,1617,0,,,1682,0,,,M,"The Fifth Dalai Lama, Ngawang Lobzang Gyatso",ta la'i bla ma 05 ngag dbang blo bzang rgya mtsho,5,
10531,P7852,Pajo Drukgom Zhikpo,,pha jo 'brug sgom zhig po,ཕ་ཇོ་འབྲུག་སྒོམ་ཞིག་པོ།,1184,1,,,1251,1,1276,,M,Pajo Drukgom Zhikpo,pha jo 'brug sgom zhig po,,
7038,P4587,Won Sonam Drakpa,,dbon bsod nams grags pa,དབོན་བསོད་ནམས་གྲགས་པ།,1187,0,,,1234,0,1235,,M,Won Sonam Drakpa,dbon bsod nams grags pa,,
6671,P4252,Lorepa Wangchuk Tsondru,,lo ras pa dbang phyug brtson 'grus,ལོ་རས་པ་དབང་ཕྱུག་བརྩོན་འགྲུས།,1187,0,,,1250,0,,,M,Lorepa Wangchuk Tsondru,lo ras pa dbang phyug brtson 'grus,,
3759,P2090,Gotsangpa Gonpo Dorje,,rgod tshang pa mgon po rdo rje,རྒོད་ཚང་པ་མགོན་པོ་རྡོ་རྗེ།,1189,0,,,1258,0,,,M,Gotsangpa Gonpo Dorje,rgod tshang pa mgon po rdo rje,,
6620,P4206,Zang Samlingpa,,zang bsam gling pa,ཟང་བསམ་གླིང་པ།,1189,0,,,1260,0,,,M,Zang Samlingpa,zang bsam gling pa,,
6159,P3785,Parpuwa Lodro Sengge,,spar phu ba blo gros seng+ge,སྤར་ཕུ་བ་བློ་གྲོས་སེངྒེ།,,0,,45,,0,,48,M,Parpuwa Lodro Sengge,spar phu ba blo gros seng+ge,,
10258,P7589,Layakpa Jangchub Ngodrub,,la yag pa byang chub dngos grub,ལ་ཡག་པ་བྱང་ཆུབ་དངོས་གྲུབ།,,0,,46,,0,,48,M,Layakpa Jangchub Ngodrub,la yag pa byang chub dngos grub,,
3165,P1841,Gomchung Sherab Jangchub,,sgom chung shes rab byang chub,སྒོམ་ཆུང་ཤེས་རབ་བྱང་ཆུབ།,1130,0,,,1173,0,,,M,Gomchung Sherab Jangchub,sgom chung shes rab byang chub,,
3881,P2202,Kharakpa Dulwa Wo,,kha rag pa 'dul ba 'od,ཁ་རག་པ་འདུལ་བ་འོད།,,0,,47,,0,,50,M,Kharakpa Dulwa Wo,kha rag pa 'dul ba 'od,,
7373,P4892,Chegompa Sherab Dorje,,lce sgom pa shes rab rdo rje,ལྕེ་སྒོམ་པ་ཤེས་རབ་རྡོ་རྗེ།,1130,1,,,,0,,,M,Chegompa Sherab Dorje,lce sgom pa shes rab rdo rje,,
6756,P4329,Zarawa Kelden Yeshe Sengge,,zwa ra ba skal ldan ye shes seng+ge,ཟྭ་ར་བ་སྐལ་ལྡན་ཡེ་ཤེས་སེངྒེ།,1168,1,,,1207,0,,,M,Zarawa Kelden Yeshe Sengge,zwa ra ba skal ldan ye shes seng+ge,,
13066,P2CZ7929,Vairocanavajra,,bai ro tsa na ba dz+ra,བཻ་རོ་ཙ་ན་བ་ཛྲ།,,1,,45,,0,,,M,Vairocanavajra,bai ro tsa na ba dz+ra,,
7636,P5132,Yelpa Yeshe Tsek,,yel pa ye shes brtsegs,ཡེལ་པ་ཡེ་ཤེས་བརྩེགས།,1134,0,,,1194,0,,,M,Yelpa Yeshe Tsek,yel pa ye shes brtsegs,,
3101,P1784,Kuyelwa Rinchen Gon,,sku yal ba rin chen mgon,སྐུ་ཡལ་བ་རིན་ཆེན་མགོན།,1191,0,,,1236,0,,,M,Kuyelwa Rinchen Gon,sku yal ba rin chen mgon,,
3139,P1818,Sanggye Yarjon,,sangs rgyas yar byon,སངས་རྒྱས་ཡར་བྱོན།,1203,0,,,1272,0,,,M,Sanggye Yarjon,sangs rgyas yar byon,,
3469,P1GS56176,Marpa Sherab Yeshe,,smar pa shes rab ye shes,སྨར་པ་ཤེས་རབ་ཡེ་ཤེས།,1135,0,,,1203,0,,,M,Marpa Sherab Yeshe,smar pa shes rab ye shes,,
6672,P4253,Jamyang Gonpo,,jam dbyangs mgon po,འཇམ་དབྱངས་མགོན་པོ།,1208,1,,,,0,,,M,Jamyang Gonpo,jam dbyangs mgon po,,
8912,P633,Nyima Bum,,nyi ma 'bum,ཉི་མ་འབུམ།,1158,0,,,1213,0,,,M,Nyima Bum,nyi ma 'bum,,
1754,P1021,Trulzhik Sengge Gyabpa,,khrul zhig seng+ge rgyab pa,འཁྲུལ་ཞིག་སེངྒེ་རྒྱབ་པ།,,0,,50,,0,,52,M,Trulzhik Sengge Gyabpa,khrul zhig seng+ge rgyab pa,,
8857,P628,Melong Dorje,,me long rdo rje,མེ་ལོང་རྡོ་རྗེ།,1243,0,,,1303,0,,,M,Melong Dorje,me long rdo rje,,
4043,P2349,Kumārarāja,,ku mA ra rA dza,ཀུ་མཱ་རཱ་ཛ།,1266,0,,,1343,0,,,M,Kumārarāja,ku mA ra rA dza,,
