"TOL ID","TBRC RID","Primary title","Primary name","primary name encoding","Wylie title","Wylie name",Tibetan,"Display name","Birth year","Birth year approximate","Birth year alternate","Birth century","Death year","Death year approximate","Death year alternate","Death century",Gender,"Name display phonetic","Name display Wylie",Ordinal,"Wikidata ID","Lotsara House URL","HAR URL"
40,P00EGS1016936,,"Acharya Sempa Dorje",bo-x-ewts,,"a tsarya sems dpa' rdo rje",ཨ་ཙརྱ་སེམས་དཔའ་རྡོ་རྗེ།,"Acharya Sempa Dorje",1930,0,,NULL,2022,0,,NULL,M,"Acharya Sempa Dorje","a tsarya sems dpa' rdo rje",NULL,NULL,NULL,
41,P00EGS1016942,NULL,"blo bzang chos grags",en,NULL,"blo bzang chos grags",བློ་བཟང་ཆོས་གྲགས།,"blo bzang chos grags",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"blo bzang chos grags","blo bzang chos grags",NULL,NULL,NULL,NULL
42,P00EGS1016948,NULL,"legs bshad",en,NULL,"legs bshad",ལེགས་བཤད།,"legs bshad",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"legs bshad","legs bshad",NULL,NULL,NULL,NULL
43,P00EGS1016953,NULL,"ban de tshe ring",en,NULL,"ban de tshe ring",བན་དེ་ཚེ་རིང།,"ban de tshe ring",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"ban de tshe ring","ban de tshe ring",NULL,NULL,NULL,NULL
44,P00EGS1016957,NULL,"tshe brtan rdo rje",en,NULL,"tshe brtan rdo rje",ཚེ་བརྟན་རྡོ་རྗེ།,"tshe brtan rdo rje",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"tshe brtan rdo rje","tshe brtan rdo rje",NULL,NULL,NULL,NULL
45,P00EGS1016961,NULL,"thub bstan bsam grub",en,NULL,"thub bstan bsam grub",ཐུབ་བསྟན་བསམ་གྲུབ།,"thub bstan bsam grub",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"thub bstan bsam grub","thub bstan bsam grub",NULL,NULL,NULL,NULL
46,P00EGS1016970,NULL,"blo bzang snyan grags",en,NULL,"blo bzang snyan grags",བློ་བཟང་སྙན་གྲགས།,"blo bzang snyan grags",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"blo bzang snyan grags","blo bzang snyan grags",NULL,NULL,NULL,NULL
47,P00EGS1017011,NULL,sanggay,bo-x-ewts,NULL,seng+ge,སེངྒེ།,sanggay,NULL,0,NULL,NULL,NULL,0,NULL,NULL,,sanggay,seng+ge,NULL,NULL,NULL,NULL
48,P00EGS1017025,NULL,"'jigs med dbang rgyal",en,NULL,"'jigs med dbang rgyal",འཇིགས་མེད་དབང་རྒྱལ།,"'jigs med dbang rgyal",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"'jigs med dbang rgyal","'jigs med dbang rgyal",NULL,NULL,NULL,NULL
49,P00EGS1017026,NULL,"blo bzang 'jam dbyangs",en,NULL,"blo bzang 'jam dbyangs",བློ་བཟང་འཇམ་དབྱངས།,"blo bzang 'jam dbyangs",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"blo bzang 'jam dbyangs","blo bzang 'jam dbyangs",NULL,NULL,NULL,NULL
50,P00EGS1017029,NULL,"tshe dbang rig 'dzin",en,NULL,"tshe dbang rig 'dzin",ཚེ་དབང་རིག་འཛིན།,"tshe dbang rig 'dzin",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"tshe dbang rig 'dzin","tshe dbang rig 'dzin",NULL,NULL,NULL,NULL
51,P00EGS1017036,NULL,"zam gdong rin po che blo bzang bstan 'dzin",en,NULL,"zam gdong rin po che blo bzang bstan 'dzin",ཟམ་གདོང་རིན་པོ་ཆེ་བློ་བཟང་བསྟན་འཛིན།,"zam gdong rin po che blo bzang bstan 'dzin",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"zam gdong rin po che blo bzang bstan 'dzin","zam gdong rin po che blo bzang bstan 'dzin",NULL,NULL,NULL,NULL
52,P00EGS1017041,NULL,"lha 'brug rgyal",en,NULL,"lha 'brug rgyal",ལྷ་འབྲུག་རྒྱལ།,"lha 'brug rgyal",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"lha 'brug rgyal","lha 'brug rgyal",NULL,NULL,NULL,NULL
53,P00EGS1017046,NULL,"bsam gtan rnam rgyal",en,NULL,"bsam gtan rnam rgyal",བསམ་གཏན་རྣམ་རྒྱལ།,"bsam gtan rnam rgyal",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"bsam gtan rnam rgyal","bsam gtan rnam rgyal",NULL,NULL,NULL,NULL
54,P00EGS1017053,NULL,"karma gzhan phan rgya mtsho",en,NULL,"karma gzhan phan rgya mtsho",ཀརྨ་གཞན་ཕན་རྒྱ་མཚོ།,"karma gzhan phan rgya mtsho",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"karma gzhan phan rgya mtsho","karma gzhan phan rgya mtsho",NULL,NULL,NULL,NULL
55,P00EGS1017062,NULL,"blo bzang dar rgyas",en,NULL,"blo bzang dar rgyas",བློ་བཟང་དར་རྒྱས།,"blo bzang dar rgyas",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"blo bzang dar rgyas","blo bzang dar rgyas",NULL,NULL,NULL,NULL
56,P00EGS1017075,NULL,"byams pa bstan 'dzin",en,NULL,"byams pa bstan 'dzin",བྱམས་པ་བསྟན་འཛིན།,"byams pa bstan 'dzin",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"byams pa bstan 'dzin","byams pa bstan 'dzin",NULL,NULL,NULL,NULL
57,P00EGS1017076,NULL,"kun dga' chos kyi dbang po",en,NULL,"kun dga' chos kyi dbang po",ཀུན་དགའ་ཆོས་ཀྱི་དབང་པོ།,"kun dga' chos kyi dbang po",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"kun dga' chos kyi dbang po","kun dga' chos kyi dbang po",NULL,NULL,NULL,NULL
58,P00EGS1017103,NULL,"thub bstan 'jam dbyangs",en,NULL,"thub bstan 'jam dbyangs",ཐུབ་བསྟན་འཇམ་དབྱངས།,"thub bstan 'jam dbyangs",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"thub bstan 'jam dbyangs","thub bstan 'jam dbyangs",NULL,NULL,NULL,NULL
59,P00EGS1017115,NULL,"blo bzang, bya gzhung",en,NULL,"blo bzang, bya gzhung","བློ་བཟང,་བྱ་གཞུང།","blo bzang, bya gzhung",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"blo bzang, bya gzhung","blo bzang, bya gzhung",NULL,NULL,NULL,NULL
60,P00EGS1017116,NULL,"skyang rtse sprul sku skye brgyud",en,NULL,"skyang rtse sprul sku skye brgyud",སྐྱང་རྩེ་སྤྲུལ་སྐུ་སྐྱེ་བརྒྱུད།,"skyang rtse sprul sku skye brgyud",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"skyang rtse sprul sku skye brgyud","skyang rtse sprul sku skye brgyud",NULL,NULL,NULL,NULL
61,P00EGS1017135,,"Dorje Sherab",bo-x-ewts,,"rdo rje shes rab",རྡོ་རྗེ་ཤེས་རབ།,"Dorje Sherab",NULL,0,,45,NULL,0,,NULL,M,"Dorje Sherab","rdo rje shes rab",NULL,NULL,NULL,
62,P00EGS1017152,"Lelung Jedrung","Tenzin Puntsok Loden",bo-x-ewts,"sle lung rje drung","bstan 'dzin phun tshogs blo ldan",བསྟན་འཛིན་ཕུན་ཚོགས་བློ་ལྡན།,"The Eleventh Lelung Jedrung, Tenzin Puntsok Loden",NULL,0,,NULL,NULL,0,,NULL,,"The Eleventh Lelung Jedrung, Tenzin Puntsok Loden","sle lung rje drung 11 bstan 'dzin phun tshogs blo ldan",11,NULL,NULL,
63,P00EGS1017158,NULL,"rin chen rdo rje",en,NULL,"rin chen rdo rje",རིན་ཆེན་རྡོ་རྗེ།,"rin chen rdo rje",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"rin chen rdo rje","rin chen rdo rje",NULL,NULL,NULL,NULL
64,P00EGS1017159,NULL,"tshe ring chos 'phel",en,NULL,"tshe ring chos 'phel",ཚེ་རིང་ཆོས་འཕེལ།,"tshe ring chos 'phel",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"tshe ring chos 'phel","tshe ring chos 'phel",NULL,NULL,NULL,NULL
65,P00EGS1017164,NULL,"tshe ring dpal 'byor",en,NULL,"tshe ring dpal 'byor",ཚེ་རིང་དཔལ་འབྱོར།,"tshe ring dpal 'byor",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"tshe ring dpal 'byor","tshe ring dpal 'byor",NULL,NULL,NULL,NULL
66,P00EGS1017168,NULL,"tshe ring stobs rgyal",en,NULL,"tshe ring stobs rgyal",ཚེ་རིང་སྟོབས་རྒྱལ།,"tshe ring stobs rgyal",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"tshe ring stobs rgyal","tshe ring stobs rgyal",NULL,NULL,NULL,NULL
67,P00EGS1017176,NULL,"gzhan phan 'od zer",en,NULL,"gzhan phan 'od zer",གཞན་ཕན་འོད་ཟེར།,"gzhan phan 'od zer",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"gzhan phan 'od zer","gzhan phan 'od zer",NULL,NULL,NULL,NULL
68,P00EGS1017192,NULL,"blo gros rab gsal",en,NULL,"blo gros rab gsal",བློ་གྲོས་རབ་གསལ།,"blo gros rab gsal",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"blo gros rab gsal","blo gros rab gsal",NULL,NULL,NULL,NULL
69,P00EGS1017211,NULL,"blo bzang dam chos",en,NULL,"blo bzang dam chos",བློ་བཟང་དམ་ཆོས།,"blo bzang dam chos",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"blo bzang dam chos","blo bzang dam chos",NULL,NULL,NULL,NULL
70,P00EGS1017215,NULL,"kunsang tobgeyl",bo-x-ewts,NULL,"kun bzang stobs rgyal",ཀུན་བཟང་སྟོབས་རྒྱལ།,"kunsang tobgeyl",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"kunsang tobgeyl","kun bzang stobs rgyal",NULL,NULL,NULL,NULL
72,P00EGS1017240,NULL,"bkra shis bstan 'dzin",en,NULL,"bkra shis bstan 'dzin",བཀྲ་ཤིས་བསྟན་འཛིན།,"bkra shis bstan 'dzin",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"bkra shis bstan 'dzin","bkra shis bstan 'dzin",NULL,NULL,NULL,NULL
73,P00EGS1017291,NULL,"tshe dbang",en,NULL,"tshe dbang",ཚེ་དབང།,"tshe dbang",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"tshe dbang","tshe dbang",NULL,NULL,NULL,NULL
74,P00EGS1017299,NULL,"chos dbyings thos bsam",en,NULL,"chos dbyings thos bsam",ཆོས་དབྱིངས་ཐོས་བསམ།,"chos dbyings thos bsam",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"chos dbyings thos bsam","chos dbyings thos bsam",NULL,NULL,NULL,NULL
75,P00EGS1017340,NULL,"bstan pa bkra shis",en,NULL,"bstan pa bkra shis",བསྟན་པ་བཀྲ་ཤིས།,"bstan pa bkra shis",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"bstan pa bkra shis","bstan pa bkra shis",NULL,NULL,NULL,NULL
76,P00EGS1017344,NULL,"pa sangs yon tan",en,NULL,"pa sangs yon tan",པ་སངས་ཡོན་ཏན།,"pa sangs yon tan",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"pa sangs yon tan","pa sangs yon tan",NULL,NULL,NULL,NULL
77,P00EGS1017348,NULL,"'od zer",en,NULL,"'od zer",འོད་ཟེར།,"'od zer",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"'od zer","'od zer",NULL,NULL,NULL,NULL
79,P00EGS1017394,NULL,"kar.ma rdo rje",en,NULL,"kar.ma rdo rje",ཀརམ་རྡོ་རྗེ།,"kar.ma rdo rje",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"kar.ma rdo rje","kar.ma rdo rje",NULL,NULL,NULL,NULL
80,P00EGS1017397,NULL,"byams pa lha btsun grags pa",en,NULL,"byams pa lha btsun grags pa",བྱམས་པ་ལྷ་བཙུན་གྲགས་པ།,"byams pa lha btsun grags pa",NULL,0,NULL,NULL,NULL,0,NULL,NULL,M,"byams pa lha btsun grags pa","byams pa lha btsun grags pa",NULL,NULL,NULL,NULL
81,P00EGS1017400,NULL,"blo bzang don grub grags pa mtha' yas",en,NULL,"blo bzang don grub grags pa mtha' yas",བློ་བཟང་དོན་གྲུབ་གྲགས་པ་མཐའ་ཡས།,"blo bzang don grub grags pa mtha' yas",NULL,0,NULL,NULL,1950,0,NULL,NULL,,"blo bzang don grub grags pa mtha' yas","blo bzang don grub grags pa mtha' yas",NULL,NULL,NULL,NULL
82,P00EGS1017418,NULL,"dkon mchog bstan 'dzin",en,NULL,"dkon mchog bstan 'dzin",དཀོན་མཆོག་བསྟན་འཛིན།,"dkon mchog bstan 'dzin",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"dkon mchog bstan 'dzin","dkon mchog bstan 'dzin",NULL,NULL,NULL,NULL
83,P00EGS1017424,NULL,"o rgyan chos 'phel",en,NULL,"o rgyan chos 'phel",ཨོ་རྒྱན་ཆོས་འཕེལ།,"o rgyan chos 'phel",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"o rgyan chos 'phel","o rgyan chos 'phel",NULL,NULL,NULL,NULL
84,P00EGS1017608,,"Lasum Gyelwa Jangchub",bo-x-ewts,,"la gsum rgyal ba byang chub",ལ་གསུམ་རྒྱལ་བ་བྱང་ཆུབ།,"Lasum Gyelwa Jangchub",NULL,0,,30,NULL,0,,32,M,"Lasum Gyelwa Jangchub","la gsum rgyal ba byang chub",NULL,NULL,NULL,
85,P00EGS1017609,NULL,"kun bzang chos kyi rgya mtsho",en,NULL,"kun bzang chos kyi rgya mtsho",ཀུན་བཟང་ཆོས་ཀྱི་རྒྱ་མཚོ།,"kun bzang chos kyi rgya mtsho",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"kun bzang chos kyi rgya mtsho","kun bzang chos kyi rgya mtsho",NULL,NULL,NULL,NULL
86,P00EGS1017610,,"Langdro Konchok Jungne",bo-x-ewts,,"lang gro dkon mchog 'byung gnas",ལང་གྲོ་དཀོན་མཆོག་འབྱུང་གནས།,"Langdro Konchok Jungne",NULL,0,,30,NULL,0,,32,M,"Langdro Konchok Jungne","lang gro dkon mchog 'byung gnas",NULL,NULL,NULL,
87,P00EGS1017611,NULL,"lang gro snang bzher",en,NULL,"lang gro snang bzher",ལང་གྲོ་སྣང་བཞེར།,"lang gro snang bzher",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"lang gro snang bzher","lang gro snang bzher",NULL,NULL,NULL,NULL
88,P00EGS1017612,NULL,"lang gro khrom legs",en,NULL,"lang gro khrom legs",ལང་གྲོ་ཁྲོམ་ལེགས།,"lang gro khrom legs",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"lang gro khrom legs","lang gro khrom legs",NULL,NULL,NULL,NULL
89,P00EGS1017613,NULL,"lig mi rgya",en,NULL,"lig mi rgya",ལིག་མི་རྒྱ།,"lig mi rgya",NULL,0,NULL,NULL,NULL,0,NULL,NULL,,"lig mi rgya","lig mi rgya",NULL,NULL,NULL,NULL
