TOL ID,TBRC RID,Primary title,Primary name,Primary name encoding,Wylie title,Wylie name,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Display name English,Display name Wylie,Display name Tibetan,Wikidata ID,Lotsawa House URL,HAR URL
9083,P6489,,Apang Terton,en,,a pang gter ston,1895,0,,,1945,0,,,M,Apang Terton,a pang gter ston,ཨ་པང་གཏེར་སྟོན།,,https://www.lotsawahouse.org/tibetan-masters/apang-terton/,
13860,,Apen Tulku,Karma Zopa Zangpo,en,a spen sprul sku,karma bzod pa bzang po,1902,0,,,1959,0,,,M,Apen Tulku Karma Zopa Zangpo,a spen sprul sku karma bzod pa bzang po,ཨ་སྤེན་སྤྲུལ་སྐུ་ཀརྨ་བཟོད་པ་བཟང་པོ།,,,
7565,P5068,,Ara Drubtob Tarpai Gyeltsen,en,,a ra grub thob thar pa'i rgyal mtshan,1535,0,,,,0,,,M,Ara Drubtob Tarpai Gyeltsen,a ra grub thob thar pa'i rgyal mtshan,ཨ་ར་གྲུབ་ཐོབ་ཐར་པའི་རྒྱལ་མཚན།,,,
12138,P9340,,"arenes, pierre",en,,"arenes, pierre",,0,,,,0,,,M,"arenes, pierre","arenes, pierre","ཨརེནེས,་པིཨེརྲེ།",,,
5479,P316,,Arik Geshe Jampa Gelek Gyeltsen,en,,a rig dge bshes byams pa dge legs rgyal mtshan,1728,0,,,1803,0,,,M,Arik Geshe Jampa Gelek Gyeltsen,a rig dge bshes byams pa dge legs rgyal mtshan,ཨ་རིག་དགེ་བཤེས་བྱམས་པ་དགེ་ལེགས་རྒྱལ་མཚན།,,,
107,P00EGS1017715,,arong jiacuo,en,,arong jiacuo,,0,,,,0,,,,arong jiacuo,arong jiacuo,ཨརོང་ཇིཨཅུཨོ།,,,
10065,P7401,,aryadeva,en,,aryadeva,,0,,,,0,,,M,aryadeva,aryadeva,ཨརྱདེབ༹།,,,
8700,P6117,,asanga,en,,asanga,,0,,,,0,,,M,asanga,asanga,ཨསང།,,,
12438,P9622,,"aschoff, jurgen c.",en,,"aschoff, jurgen c.",1938,0,,,,0,,,M,"aschoff, jurgen c.","aschoff, jurgen c.","ཨསཆོཕ༹ཕ༹,་ཇུརྒེན་ཅ།",,,
10284,P7612,,asvaghosa,en,,asvaghosa,,0,,,,0,,,M,asvaghosa,asvaghosa,ཨསབ༹གྷོས།,,,
13865,,,Aten,en,,a brtan,1933,0,,,1984,0,,,M,Aten,a brtan,ཨ་བརྟན།,,,
5717,P3379,,Atiśa Dīpaṃkara,sa-x-iast,,a ti sha dI paM ka ra,982,0,,,1055,1,,,M,Atiśa Dīpaṃkara,a ti sha dI paM ka ra,ཨ་ཏི་ཤ་དཱི་པཾ་ཀ་ར།,,,
10862,P8165,,atuladasavajra,en,,atuladasavajra,,0,,,,0,,,M,atuladasavajra,atuladasavajra,ཨཏུལདསབ༹ཇྲ།,,,
12647,P9817,,"aufschnaiter, peter",en,,"aufschnaiter, peter",1899,0,,,1973,0,,,M,"aufschnaiter, peter","aufschnaiter, peter","ཨཽཕ༹སཆནཻཏེར,་པེཏེར།",,,
10879,P8180,,avayukti,en,,avayukti,,0,,,,0,,,M,avayukti,avayukti,ཨབ༹ཡུཀཏི།,,,
13139,P3AG24,,Ayu Khandro Dorje Peldron,en,,a g.yu mkha' 'gro rdo rje dpal sgron,1839,0,,,1953,0,,,F,Ayu Khandro Dorje Peldron,a g.yu mkha' 'gro rdo rje dpal sgron,ཨ་གཡུ་མཁའ་འགྲོ་རྡོ་རྗེ་དཔལ་སྒྲོན།,,,
13092,P3AG8,,Azha Lodro Gyeltsen,en,,a zha blo gros rgyal mtshan,1198,0,,,1263,0,,,M,Azha Lodro Gyeltsen,a zha blo gros rgyal mtshan,འ་ཞ་བློ་གྲོས་རྒྱལ་མཚན།,,,
10519,P7841,,"aziz, barbara nimri",en,,"aziz, barbara nimri",,0,,,,0,,,M,"aziz, barbara nimri","aziz, barbara nimri","ཨཟིཟ,་བརྦར་ནིམྲི།",,,
9980,P7320,,"bacot, jacques",en,,"bacot, jacques",1877,0,,,1965,0,,,M,"bacot, jacques","bacot, jacques","བཅོཏ,་ཇཅqཨུཨེས།",,,
5750,P3408,,Bakton Zhonnu Tsultrim,en,,bag ston gzhon nu tshul khrims,,1,,50,,0,,51,M,Bakton Zhonnu Tsultrim,bag ston gzhon nu tshul khrims,བག་སྟོན་གཞོན་ནུ་ཚུལ་ཁྲིམས།,,,
12051,P9260,,"balikci denjongpa, anna",en,,"balikci denjongpa, anna",,0,,,,0,,,F,"balikci denjongpa, anna","balikci denjongpa, anna","བལིཀཅི་དེནཇོངཔ,་ཨནན།",,,
7272,P4799,,Bamda Gelek,en,,ba' mda' dge legs,1844,0,,,1904,0,,,M,Bamda Gelek,ba' mda' dge legs,འབའ་མདའ་དགེ་ལེགས།,,,
3266,P1932,,Barawa Gyeltsen Pelzang,en,,ba' ra ba rgyal mtshan dpal bzang,1310,0,,,1391,0,,,M,Barawa Gyeltsen Pelzang,ba' ra ba rgyal mtshan dpal bzang,འབའ་ར་བ་རྒྱལ་མཚན་དཔལ་བཟང།,,,
3181,P1856,,Barompa Darma Wangchuk,en,,ba' rom pa dar ma dbang phyug,1127,0,,,1194,1,,,M,Barompa Darma Wangchuk,ba' rom pa dar ma dbang phyug,འབའ་རོམ་པ་དར་མ་དབང་ཕྱུག།,,,
6746,P432,,Baso Chokyi Gyeltsen,en,,ba so chos kyi rgyal mtshan,1402,0,,,1473,0,,,M,Baso Chokyi Gyeltsen,ba so chos kyi rgyal mtshan,བ་སོ་ཆོས་ཀྱི་རྒྱལ་མཚན།,,,
10200,P7530,,"bawden, c. r.",en,,"bawden, c. r.",,0,,,,0,,,M,"bawden, c. r.","bawden, c. r.","བཝདེན,་ཅ་ར།",,,
12318,P9509,,"bethlenfalvy, geza",en,,"bethlenfalvy, geza",1936,0,,,,0,,,M,"bethlenfalvy, geza","bethlenfalvy, geza","བེཐླེནཕ༹ལབ༹ཡ,་གེཟ།",,,
13799,,,Bhikkhu Aniruddha Mahathera,en,,,1915,0,,,2003,0,,,M,Bhikkhu Aniruddha Mahathera,,,,,
4665,P292,,Bipa Mipam Dawa,en,,bis pa dbang mi pham zla ba,1767,0,,,1807,0,,,M,Bipa Mipam Dawa,bis pa dbang mi pham zla ba,བིས་པ་དབང་མི་ཕམ་ཟླ་བ།,,,
12012,P9224,,"blezer, henk",en,,"blezer, henk",,0,,,,0,,,M,"blezer, henk","blezer, henk","བླེཟེར,་ཧེནཀ།",,,
231,P00KG03924,,"bobrovnikov, a. alekshandrovich",en,,"bobrovnikov, a. alekshandrovich",,0,,,1865,0,,,M,"bobrovnikov, a. alekshandrovich","bobrovnikov, a. alekshandrovich","བོབྲོབ༹ནིཀོབ༹,་ཨ་ཨལེཀཤནདྲོབི༹ཆ།",,,
4344,P2627,,Bodong Paṇchen Chokle Namgyel,en,,bo dong paN chen phyogs las rnam rgyal,1376,0,,,1451,0,,,M,Bodong Paṇchen Chokle Namgyel,bo dong paN chen phyogs las rnam rgyal,བོ་དོང་པཎ་ཆེན་ཕྱོགས་ལས་རྣམ་རྒྱལ།,,,
13174,P11MS154,,Bondrong Tenpa Wozer,en,,bon grong bstan pa 'od zer,,0,,,1632,1,,,M,Bondrong Tenpa Wozer,bon grong bstan pa 'od zer,བོན་གྲོང་བསྟན་པ་འོད་ཟེར།,,,
13080,P11MS159,,Bonzhik Khyungnak,en,,bon zhig khyung nag,1103,0,,,1183,0,,,M,Bonzhik Khyungnak,bon zhig khyung nag,བོན་ཞིག་ཁྱུང་ནག།,,,
10093,P743,,Botrul Dongak Tenpai Nyima,en,,bod sprul mdo sngags bstan pa'i nyi ma,1898,0,"19,001,902",,1959,0,,,M,Botrul Dongak Tenpai Nyima,bod sprul mdo sngags bstan pa'i nyi ma,བོད་སྤྲུལ་མདོ་སྔགས་བསྟན་པའི་ཉི་མ།,,https://www.lotsawahouse.org/tibetan-masters/bopa-tulku-dongak-tenpe-nyima/,
10546,P7868,,Buddhaguhya,sa-x-iast,,sangs rgyas gsang ba,,0,,31,,0,,32,M,Buddhaguhya,sangs rgyas gsang ba,སངས་རྒྱས་གསང་བ།,,,
10251,P7581,,buddhagupta,en,,buddhagupta,,0,,,,0,,,M,buddhagupta,buddhagupta,བུདདྷགུཔཏ།,,,
6412,P4013,,Buddhagupta-nātha,en,,bud d+ha gup ta nA tha,,0,,61,,0,,,M,Buddhagupta-nātha,bud d+ha gup ta nA tha,བུད་དྷ་གུཔ་ཏ་ནཱ་ཐ།,,,
4866,P2JM133,,Buddhākarabhadra,sa-x-iast,,bud+d+ha A ka ra b+ha dra,,0,,,,0,,,,Buddhākarabhadra,bud+d+ha A ka ra b+ha dra,བུདྡྷ་ཨཱ་ཀ་ར་བྷ་དྲ།,,,
10972,P8268,,buddhaprabha,en,,buddhaprabha,,0,,,,0,,,M,buddhaprabha,buddhaprabha,བུདདྷཔྲབྷ།,,,
5626,P3296,,Buddhaśrī,sa-x-iast,,sangs rgyas dpal,1339,0,,,1432,0,,,M,Buddhaśrī,sangs rgyas dpal,སངས་རྒྱས་དཔལ།,,,
12801,P9963,,buddhasrijnana,sa-x-iast,,buddhasrijnana,,0,,,,0,,,M,buddhasrijnana,buddhasrijnana,བུདདྷསྲིཇནན།,,,
12045,P9255,,"buffetrille, katia",en,,"buffetrille, katia",,0,,,,0,,,F,"buffetrille, katia","buffetrille, katia","བུཕ༹ཕེ༹ཏྲིལླེ,་ཀཏིཨ།",,,
12131,P9334,,"burchardi, anne",en,,"burchardi, anne",,0,,,,0,,,F,"burchardi, anne","burchardi, anne","བུརཆརྡི,་ཨནནེ།",,,
2845,P155,,Buton Rinchen Drub,en,,bu ston rin chen grub,1290,0,,,1364,0,,,M,Buton Rinchen Drub,bu ston rin chen grub,བུ་སྟོན་རིན་ཆེན་གྲུབ།,,https://www.lotsawahouse.org/tibetan-masters/buton/,
12441,P9625,,"cai, jingfeng",en,,"cai, jingfeng",1927,0,,,,0,,,M,"cai, jingfeng","cai, jingfeng","ཅཻ,་ཇིངཕེ༹ང།",,,
12677,P9846,,camaripa,en,,camaripa,,0,,,,0,,,M,camaripa,camaripa,ཅམརིཔ།,,,
12689,P9857,,"campbell, w. l. (william lachlan)",en,,"campbell, w. l. (william lachlan)",,0,,,,0,,,M,"campbell, w. l. (william lachlan)","campbell, w. l. (william lachlan)","ཅམཔབེལལ,་ཝ་ལ ༼ཝིལླིཨམ་ལཆླན༽།",,,
10268,P7599,,candragomin,en,,candragomin,,0,,,,0,,,M,candragomin,candragomin,ཅནདྲགོམིན།,,,
10850,P8153,,candramala,en,,candramala,,0,,,,0,,,F,candramala,candramala,ཅནདྲམལ།,,,
10888,P8190,,candrasri,en,,candrasri,,0,,,,0,,,M,candrasri,candrasri,ཅནདྲསྲི།,,,
10905,P8206,,celu,en,,celu,,0,,,,0,,,M,celu,celu,ཅེལུ།,,,
12981,P3JM56,Chagdud Tulku,Pema Gargyi Wangchuk,en,lcags mdud sprul sku,pad+ma gar gyi dbang phyug,1930,0,,,2002,0,,,M,Chagdud Tulku Pema Gargyi Wangchuk,lcags mdud sprul sku pad+ma gar gyi dbang phyug,ལྕགས་མདུད་སྤྲུལ་སྐུ་པདྨ་གར་གྱི་དབང་ཕྱུག།,,,
13814,P2CN11089,Chagdud Tulku,Sherab Gyeltsen,en,lcags mdud sprul sku,shes rab rgyal mtshan,1459,0,,,,0,,,M,Chagdud Tulku Sherab Gyeltsen,lcags mdud sprul sku shes rab rgyal mtshan,ལྕགས་མདུད་སྤྲུལ་སྐུ་ཤེས་རབ་རྒྱལ་མཚན།,,,
5985,P3627,,Chakpa Chopel,en,,chags pa chos 'phel,,0,,68,,0,,71,M,Chakpa Chopel,chags pa chos 'phel,ཆགས་པ་ཆོས་འཕེལ།,,,
9590,P696,,Changlung Pelchen Namkha Jigme,en,,spyang lung dpal chen nam mkha' 'jigs med,1757,0,,,1821,0,,,M,Changlung Pelchen Namkha Jigme,spyang lung dpal chen nam mkha' 'jigs med,སྤྱང་ལུང་དཔལ་ཆེན་ནམ་མཁའ་འཇིགས་མེད།,,,
7373,P4892,,Chegompa Sherab Dorje,en,,lce sgom pa shes rab rdo rje,1130,1,,,,0,,,M,Chegompa Sherab Dorje,lce sgom pa shes rab rdo rje,ལྕེ་སྒོམ་པ་ཤེས་རབ་རྡོ་རྗེ།,,,
5791,P3447,,Chekhawa Yeshe Dorje,en,,chad kha ba ye shes rdo rje,1101,0,,,1175,0,,,M,Chekhawa Yeshe Dorje,chad kha ba ye shes rdo rje,འཆད་ཁ་བ་ཡེ་ཤེས་རྡོ་རྗེ།,,https://www.lotsawahouse.org/tibetan-masters/geshe-chekhawa-yeshe-dorje/,
3598,P1KG868,,chen qing ying,en,,chen qing ying,,0,,,,0,,,M,chen qing ying,chen qing ying,ཆེན་qཨིང་ཡིང།,,,
10190,P7521,,"chen, naiwen",en,,"chen, naiwen",,0,,,,0,,,M,"chen, naiwen","chen, naiwen","ཆེན,་ནཻཝེན།",,,
10187,P7519,,"chen, xiezhang",en,,"chen, xiezhang",,0,,,,0,,,M,"chen, xiezhang","chen, xiezhang","ཆེན,་xཨིཨེཞང།",,,
13429,P1AG1,,Chennga Darma Tsultrim,en,,spyan snga dar ma tshul khrims,,0,,45,,0,,49,M,Chennga Darma Tsultrim,spyan snga dar ma tshul khrims,སྤྱན་སྔ་དར་མ་ཚུལ་ཁྲིམས།,,,
2595,P132,,Chennga Drakpa Jungne,en,,spyan snga grags pa 'byung gnas,1175,0,,,1255,0,,,M,Chennga Drakpa Jungne,spyan snga grags pa 'byung gnas,སྤྱན་སྔ་གྲགས་པ་འབྱུང་གནས།,,,
13233,P11MS248,,Chennga Namtsowa,en,,spyan snga gnam mtsho ba,,0,,45,,0,,49,M,Chennga Namtsowa,spyan snga gnam mtsho ba,སྤྱན་སྔ་གནམ་མཚོ་བ།,,,
13430,P1AG3,,Chennga Rinchen Jungne,en,,spyan snga rin chen 'byung gnas,,0,,45,,0,,49,M,Chennga Rinchen Jungne,spyan snga rin chen 'byung gnas,སྤྱན་སྔ་རིན་ཆེན་འབྱུང་གནས།,,,
13237,P11MS249,,Chennga Rinchen Zangpo,en,,spyan snga rin chen bzang po,1168,0,,,,0,,,M,Chennga Rinchen Zangpo,spyan snga rin chen bzang po,སྤྱན་སྔ་རིན་ཆེན་བཟང་པོ།,,,
13073,P1AG39,,Chennga Sonam Zangpo,en,,spyan nga bsod nams bzang po,1380,0,,,1416,0,,,M,Chennga Sonam Zangpo,spyan nga bsod nams bzang po,སྤྱན་ང་བསོད་ནམས་བཟང་པོ།,,,
5820,P3473,,Chennga Tsultrim Bar,en,,spyan snga tshul khrims 'bar,1038,0,,,1103,0,,,M,Chennga Tsultrim Bar,spyan snga tshul khrims 'bar,སྤྱན་སྔ་ཚུལ་ཁྲིམས་འབར།,,,
495,P0RK1222,,Chetsun Sengge Wangchuk,en,,lce btsun seng ge dbang phyug,,0,,45,,0,,,M,Chetsun Sengge Wangchuk,lce btsun seng ge dbang phyug,ལྕེ་བཙུན་སེང་གེ་དབང་ཕྱུག།,,,
2181,P1060,,Chim Namkha Drak,en,,mchims nam mkha' grags pa,1210,0,,,1285,0,1289,,M,Chim Namkha Drak,mchims nam mkha' grags pa,མཆིམས་ནམ་མཁའ་གྲགས་པ།,,,
13788,P1TD59,,Chime Dolkar,en,,chi med sgrol dkar,1885,0,,,1966,0,,,F,Chime Dolkar,chi med sgrol dkar,འཆི་མེད་སྒྲོལ་དཀར།,,,
13747,,,Chime Dorje,en,,chi med rdo rje,1884,0,,,1948,0,,,M,Chime Dorje,chi med rdo rje,འཆི་མེད་རྡོ་རྗེ།,,,
11866,P9090,,Chime Tenpai Nyima,en,,chi med bstan pa'i nyi ma,1756,0,,,,0,,,F,Chime Tenpai Nyima,chi med bstan pa'i nyi ma,འཆི་མེད་བསྟན་པའི་ཉི་མ།,,,http://www.himalayanart.org/image.cfm?icode=57068
9589,P6959,,Chime Yeshe,en,,chi med ye shes,,0,,73,,0,,77,M,Chime Yeshe,chi med ye shes,འཆི་མེད་ཡེ་ཤེས།,,,
13194,P8LS12530,,Chogyel Tendzin,en,,chos rgyal bstan 'dzin,,0,,,,0,,,,Chogyel Tendzin,chos rgyal bstan 'dzin,ཆོས་རྒྱལ་བསྟན་འཛིན།,,,
13431,P1AG4,,Choje Gangpa Rinchen Wozer,en,,chos rje sgang pa rin chen 'od zer,1175,0,1165,,1249,0,,,M,Choje Gangpa Rinchen Wozer,chos rje sgang pa rin chen 'od zer,ཆོས་རྗེ་སྒང་པ་རིན་ཆེན་འོད་ཟེར།,,,
13432,P1AG5,,Choje Tsadrelwa,en,,chos rje rtsa bral ba,,0,,45,,0,,49,M,Choje Tsadrelwa,chos rje rtsa bral ba,ཆོས་རྗེ་རྩ་བྲལ་བ།,,,
8181,P564,,Chokgyur Lingpa,en,,mchog gyur gling pa,1829,0,,,1870,0,,,M,Chokgyur Lingpa,mchog gyur gling pa,མཆོག་གྱུར་གླིང་པ།,,https://www.lotsawahouse.org/tibetan-masters/chokgyur-dechen-lingpa/,http://www.himalayanart.org/search/set.cfm?setID=1156
2812,P152,,Chokle Namgyel,en,,phyogs las rnam rgyal,1306,0,,,1386,0,,,M,Chokle Namgyel,phyogs las rnam rgyal,ཕྱོགས་ལས་རྣམ་རྒྱལ།,,,
9107,P6511,,Choku Orgyen Gonpo,en,,chos sku o rgyan mgon po,1293,0,,,1366,0,,,M,Choku Orgyen Gonpo,chos sku o rgyan mgon po,ཆོས་སྐུ་ཨོ་རྒྱན་མགོན་པོ།,,,
12883,P994,,Chokyi Dorje,en,,chos kyi rdo rje,1457,0,,,,0,,,M,Chokyi Dorje,chos kyi rdo rje,ཆོས་ཀྱི་རྡོ་རྗེ།,,,
2774,P1485,,Chokyi Gyelpo,en,,chos kyi rgyal po,1335,0,,,1407,0,,,M,Chokyi Gyelpo,chos kyi rgyal po,ཆོས་ཀྱི་རྒྱལ་པོ།,,,
7240,P477,,Chokyi Gyeltsen,en,,chos kyi rgyal mtshan,1469,0,,,1544,0,,,M,Chokyi Gyeltsen,chos kyi rgyal mtshan,ཆོས་ཀྱི་རྒྱལ་མཚན།,,,
6393,P3998,,Chokyi Lama,en,,chos kyi bla ma,1184,0,,,1241,0,,,M,Chokyi Lama,chos kyi bla ma,ཆོས་ཀྱི་བླ་མ།,,,
2687,P1404,,Chokyi Sengge,en,,chos kyi seng+ge,1109,0,,,1169,0,,,M,Chokyi Sengge,chos kyi seng+ge,ཆོས་ཀྱི་སེངྒེ།,,,
8507,P5941,,Chokyi Wozer,en,,chos kyi 'od zer,1889,0,,,1960,0,,,M,Chokyi Wozer,chos kyi 'od zer,ཆོས་ཀྱི་འོད་ཟེར།,,https://www.lotsawahouse.org/tibetan-masters/khyenrab-chokyi-ozer/,
11285,P856,,Chokyong Zangpo,en,,chos skyong bzang po,1441,0,,,1527,0,,,M,Chokyong Zangpo,chos skyong bzang po,ཆོས་སྐྱོང་བཟང་པོ།,,,
5121,P2JM398,,Chonam,en,,chos rnam,,0,,77,,0,,,M,Chonam,chos rnam,ཆོས་རྣམ།,,,
13507,P1KT6,Chone Regent,Rinchen Peldzom,en,co ne rgyal tshab,dpon mo rin chen dpal 'dzoms,,0,,70,,0,,71,F,Chone Regent Rinchen Peldzom,co ne rgyal tshab dpon mo rin chen dpal 'dzoms,ཅོ་ནེ་རྒྱལ་ཚབ་དཔོན་མོ་རིན་ཆེན་དཔལ་འཛོམས།,,,
9172,P6572,,Chonyi Wangmo,en,,chos nyid dbang mo,,0,,76,,0,,79,F,Chonyi Wangmo,chos nyid dbang mo,ཆོས་ཉིད་དབང་མོ།,,,
13112,P2AG20,,Chopel Zangpo,en,,chos dpal bzang po,,0,,59,,0,,62,M,Chopel Zangpo,chos dpal bzang po,ཆོས་དཔལ་བཟང་པོ།,,,
9319,P671,,chos rje gling pa,en,,chos rje gling pa,1682,0,,,1720,0,,,M,chos rje gling pa,chos rje gling pa,ཆོས་རྗེ་གླིང་པ།,,https://www.lotsawahouse.org/tibetan-masters/choje-lingpa/,
13197,P10MS14675,,Chowang Dorje Dzinpa,en,,chos dbang rdo rje 'dzin pa,,0,,68,,0,,69,M,Chowang Dorje Dzinpa,chos dbang rdo rje 'dzin pa,ཆོས་དབང་རྡོ་རྗེ་འཛིན་པ།,,,
6770,P4341,,Chowang Drakpa,en,,chos dbang grags pa,1404,0,,,1469,0,,,M,Chowang Drakpa,chos dbang grags pa,ཆོས་དབང་གྲགས་པ།,,,
9945,P7289,,Choying Khyabdel,en,,chos dbyings khyab brdal,1920,0,,,1997,0,,,M,Choying Khyabdel,chos dbyings khyab brdal,ཆོས་དབྱིངས་ཁྱབ་བརྡལ།,,,
13886,,,Choza Bonmo,en,,Gco bza' bon mo,,0,,,,0,,,F,Choza Bonmo,Gco bza' bon mo,Gཅོ་བཟའ་བོན་མོ།,,,
13888,,,Choza Bonmo,en,,gco bza' bon mo,,0,,,,0,,,F,Choza Bonmo,gco bza' bon mo,གཅོ་བཟའ་བོན་མོ།,,,
3902,P2221,,Chung Dorje Drakpa,en,,gcung rdo rje grags pa,1210,0,,,1278,0,,,M,Chung Dorje Drakpa,gcung rdo rje grags pa,གཅུང་རྡོ་རྗེ་གྲགས་པ།,,,
1830,P10279,,"coleman, graham",en,,"coleman, graham",,0,,,,0,,,M,"coleman, graham","coleman, graham","ཅོལེམན,་གྲཧམ།",,,
10023,P7363,,"comolli, yvan",en,,"comolli, yvan",1922,0,,,,0,,,M,"comolli, yvan","comolli, yvan","ཅོམོལླི,་ཡབ༹ན།",,,
12134,P9337,,"cousens, diana",en,,"cousens, diana",,0,,,,0,,,F,"cousens, diana","cousens, diana","ཅོཨུསེནས,་དིཨན།",,,
3211,P1883,,Dakchen Sherab Gyeltsen,en,,bdag chen shes rab rgyal mtshan,1436,0,1439,,1494,0,"14,651,486",,M,Dakchen Sherab Gyeltsen,bdag chen shes rab rgyal mtshan,བདག་ཆེན་ཤེས་རབ་རྒྱལ་མཚན།,,,
3175,P1850,,Dakpo Duldzin,en,,dwags po 'dul 'dzin,1134,0,,,1218,0,,,M,Dakpo Duldzin,dwags po 'dul 'dzin,དྭགས་པོ་འདུལ་འཛིན།,,,
620,P0RK1366,,Damcho Lingpa,en,,dam chos gling pa,1175,0,,48,,0,,,M,Damcho Lingpa,dam chos gling pa,དམ་ཆོས་གླིང་པ།,,,
7297,P4822,,Damcho Tsomo,en,,dam chos mtsho mo,1850,1,,,1923,0,1926,,F,Damcho Tsomo,dam chos mtsho mo,དམ་ཆོས་མཚོ་མོ།,,,
12743,P9907,,Damcho Wozer,en,,dam chos 'od zer,1908,1,,,1960,1,,,M,Damcho Wozer,dam chos 'od zer,དམ་ཆོས་འོད་ཟེར།,,,
164,P00KG010094,,damchoe chophel,en,,dam chos chos 'phel,,0,,,,0,,,,damchoe chophel,dam chos chos 'phel,དམ་ཆོས་ཆོས་འཕེལ།,,,
13221,P11MS156,,Dampa Lodro Gyeltsen,en,,dam pa blo gros rgyal mtshan,,0,,65,,0,,,M,Dampa Lodro Gyeltsen,dam pa blo gros rgyal mtshan,དམ་པ་བློ་གྲོས་རྒྱལ་མཚན།,,,
13081,P11MS161,,Dampa Yuzhik,en,,dam pa g.yu zhig,1225,0,,50,,0,,,M,Dampa Yuzhik,dam pa g.yu zhig,དམ་པ་གཡུ་ཞིག།,,,
10910,P8210,,danasila,en,,danasila,,0,,,,0,,,M,danasila,danasila,དནསིལ།,,,
494,P0RK1221,,Dangma Lhungyel,en,,ldang ma lhun rgyal,,0,,41,,0,,,M,Dangma Lhungyel,ldang ma lhun rgyal,ལྡང་མ་ལྷུན་རྒྱལ།,,,
