TOL ID,TBRC RID,Primary title,Primary name,Wylie title,Wylie name,Wylie script,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,HAR URL,Name display phonetic,Name display Wylie,Ordinal,Wikidata ID
2069,P10497,,Rinchen Dorje,,rin chen rdo rje,རིན་ཆེན་རྡོ་རྗེ།,NULL,0,,NULL,1959,0,,NULL,M,,Rinchen Dorje,rin chen rdo rje,NULL,NULL
2104,P1053,,Lotsāwa Chokden Lekpai Lodro,,mchog ldan legs pa'i blo gros,མཆོག་ལྡན་ལེགས་པའི་བློ་གྲོས།,NULL,0,,50,NULL,0,,52,M,,Lotsāwa Chokden Lekpai Lodro,mchog ldan legs pa'i blo gros,NULL,NULL
2118,P5987,Chaktsa Tulku,Kunzang Ngedon Wangpo,phyag tsha sprul sku,kun bzang nges don dbang po,ཀུན་བཟང་ངེས་དོན་དབང་པོ།,NULL,0,,71,1816,0,,72,M,,"The First Chaktsa Tulku, Kunzang Ngedon Wangpo",phyag tsha sprul sku 01 kun bzang nges don dbang po,1,NULL
2137,P1056,,Sakya Paṇḍita Kunga Gyeltsen,,sa skya paN+Dita kun dga' rgyal mtshan,ས་སྐྱ་པཎྜིཏ་ཀུན་དགའ་རྒྱལ་མཚན།,1182,0,,NULL,1251,0,,NULL,M,http://www.himalayanart.org/search/set.cfm?setID=325,Sakya Paṇḍita Kunga Gyeltsen,sa skya paN+Dita kun dga' rgyal mtshan,NULL,NULL
2162,P10582,Tsurpu Gyeltsab,Tashi Namgyel,mtshur phu rgyal tshab,bkra shis rnam rgyal,བཀྲ་ཤིས་རྣམ་རྒྱལ།,1490,0,,NULL,1518,0,,NULL,M,,"The Second Tsurpu Gyeltsab, Tashi Namgyel",mtshur phu rgyal tshab 02 bkra shis rnam rgyal,2,NULL
2180,P106,Paṇchen Lama,Lobzang Yeshe,paN chen bla ma,blo bzang ye shes,བློ་བཟང་ཡེ་ཤེས།,1663,0,,NULL,1737,0,,NULL,M,,"The Fifth Paṇchen Lama, Lobzang Yeshe",paN chen bla ma 05 blo bzang ye shes,5,NULL
2181,P1060,,Chim Namkha Drak,,mchims nam mkha' grags pa,མཆིམས་ནམ་མཁའ་གྲགས་པ།,1210,0,,NULL,1285,0,1289,NULL,M,,Chim Namkha Drak,mchims nam mkha' grags pa,NULL,NULL
2203,P1062,,Zhangton Konchok Pel,,zhang ston dkon mchog dpal,ཞང་སྟོན་དཀོན་མཆོག་དཔལ།,NULL,0,,51,1317,0,,NULL,M,,Zhangton Konchok Pel,zhang ston dkon mchog dpal,NULL,NULL
2232,P10646,,Kunkyong Lingpa,,kun skyong gling pa,ཀུན་སྐྱོང་གླིང་པ།,1396,0,1408,NULL,1477,0,1489,NULL,M,,Kunkyong Lingpa,kun skyong gling pa,NULL,NULL
2235,P10649,Zamtsa Sertri,Kelzang Lungrik Gyatso,zam tsha gser khri,skal bzang lung rigs rgya mtsho,སྐལ་བཟང་ལུང་རིགས་རྒྱ་མཚོ།,1901,0,,NULL,1954,0,,NULL,M,,"The Sixth Zamtsa Sertri, Kelzang Lungrik Gyatso",zam tsha gser khri 06 skal bzang lung rigs rgya mtsho,6,NULL
2237,P10650,Zamtsa Sertri,Kelzang Jigme Namkha,zam tsha gser khri,skal bzang 'jigs med nam mkha',སྐལ་བཟང་འཇིགས་མེད་ནམ་མཁའ།,1875,0,,NULL,1899,0,,NULL,M,,"The Fifth Zamtsa Sertri, Kelzang Jigme Namkha",zam tsha gser khri 05 skal bzang 'jigs med nam mkha',5,NULL
2238,P10651,Zamtsa Sertri,Lobzang Trinle Gyatso,zam tsha gser khri,blo bzang 'jigs med rgya mtsho,བློ་བཟང་འཇིགས་མེད་རྒྱ་མཚོ།,1822,0,,NULL,1832,0,,NULL,M,,"The Third Zamtsa Sertri, Lobzang Trinle Gyatso",zam tsha gser khri 03 blo bzang 'jigs med rgya mtsho,3,NULL
2280,P1069,,Yeshe Rinchen,,ye shes rin chen,ཡེ་ཤེས་རིན་ཆེན།,1248,0,,NULL,1294,0,,NULL,M,,Yeshe Rinchen,ye shes rin chen,NULL,NULL
2314,P1072,,Rinchen Gyeltsen,,rin chen rgyal mtshan,རིན་ཆེན་རྒྱལ་མཚན།,1238,0,,NULL,1279,0,,NULL,M,,Rinchen Gyeltsen,rin chen rgyal mtshan,NULL,NULL
2327,P1078,Ganden Tripa,Lobzang Donyo,dga' ldan khri pa,blo bzang don yod,བློ་བཟང་དོན་ཡོད།,1602,0,,NULL,1678,0,,NULL,M,,"The Forty-Second Ganden Tripa, Lobzang Donyo",dga' ldan khri pa 42 blo bzang don yod,42,NULL
2328,P1079,Pakpa Lha,Chokyi Gyelpo,phags pa lha,chos kyi rgyal po,ཆོས་ཀྱི་རྒྱལ་པོ།,1605,0,,NULL,1643,0,,NULL,M,,"The Fourth Pakpa Lha, Chokyi Gyelpo",phags pa lha 04 chos kyi rgyal po,4,NULL
2329,P108,Purchok,Ngawang Jampa,phur lcog,ngag dbang byams pa,ངག་དབང་བྱམས་པ།,1682,0,,NULL,1762,0,,NULL,M,,"The First Purchok, Ngawang Jampa",phur lcog 01 ngag dbang byams pa,1,NULL
2330,P1080,Tatsak Jedrung,Ngawang Chokyi Wangchuk,rta tshag rje drung,ngag dbang chos kyi dbang phyug,ངག་དབང་ཆོས་ཀྱི་དབང་ཕྱུག།,1606,0,,NULL,1652,0,,NULL,M,,"The Fifth Tatsak Jedrung, Ngawang Chokyi Wangchuk",rta tshag rje drung 05 ngag dbang chos kyi dbang phyug,5,NULL
2336,P1AG72,,Kunga Puntsok,,kun dga' phun tshogs,ཀུན་དགའ་རྒྱ་མཚོ།,NULL,0,,65,NULL,0,,NULL,M,,Kunga Puntsok,kun dga' phun tshogs,NULL,NULL
2338,P1089,,Nesar Jamyang Khyentse Wangchuk,,gnas gsar 'jam dbyangs mkhyen brtse'i dbang phyug,གནས་གསར་མཁྱེན་བརྩེའི་དབང་ཕྱུག།,1524,0,,NULL,1568,0,,NULL,M,,Nesar Jamyang Khyentse Wangchuk,gnas gsar 'jam dbyangs mkhyen brtse'i dbang phyug,NULL,NULL
2339,P109,Dalai Lama,Jampel Gyatso,ta la'i bla ma,jam dpal rgya mtsho,འཇམ་དཔལ་རྒྱ་མཚོ།,1758,0,,NULL,1804,0,,NULL,M,http://www.himalayanart.org/search/set.cfm?setID=970,"The Eighth Dalai Lama, Jampel Gyatso",ta la'i bla ma 08 'jam dpal rgya mtsho,8,NULL
2340,P1090,,Labsum Gyeltsen,,bslab gsum rgyal mtshan,བསླབ་གསུམ་རྒྱལ་མཚན།,1526,0,,NULL,1577,0,,NULL,M,,Labsum Gyeltsen,bslab gsum rgyal mtshan,NULL,NULL
2387,P1132,,Ngorchen Kunga Zangpo,,ngor chen kun dga' bzang po,ངོར་ཆེན་ཀུན་དགའ་བཟང་པོ།,1382,0,,NULL,1456,0,,NULL,M,,Ngorchen Kunga Zangpo,ngor chen kun dga' bzang po,NULL,NULL
2392,P1137,Taktser,Lobzang Dorje,stag mtsher,blo bzang rdo rje,བློ་བཟང་རྡོ་རྗེ།,NULL,0,,68,NULL,0,,70,M,,"The First Taktser, Lobzang Dorje",stag mtsher 01 blo bzang rdo rje,1,NULL
2393,P1138,Taktser,Lobzang Tsultrim Jigme Gyatso,stag mtsher,blo bzang tshul khrims 'jigs med rgya mtsho,བློ་བཟང་ཚུལ་ཁྲིམས་འཇིགས་མེད་རྒྱ་མཚོ།,1856,0,,NULL,1920,1,,NULL,M,,"The Fifth Taktser, Lobzang Tsultrim Jigme Gyatso",stag mtsher 05 blo bzang tshul khrims 'jigs med rgya mtsho,5,NULL
2399,P1143,Taktser,Yeshe Kelzang,stag mtsher,ye shes skal bzang,ཡེ་ཤེས་སྐལ་བཟང།,1705,0,,NULL,NULL,0,,NULL,M,,"The Second Taktser, Yeshe Kelzang",stag mtsher 02 ye shes skal bzang,2,NULL
2409,P1152,Ngago,Namkha Sengge,rnga rgod,nam mkha' seng+ge,ནམ་མཁའ་སེངྒེ།,1712,0,,NULL,1780,0,,NULL,M,,"The Third Ngago, Namkha Sengge",rnga rgod 03 nam mkha' seng+ge,3,NULL
2418,P1160,Tsatrul Rinpoche,Ngawang Lobzang,tsha sprul rin po che,ngag dbang blo bzang,ཚ་སྤྲུལ་ངག་དབང་བློ་བཟང།,1880,0,,NULL,1957,0,,NULL,M,,Tsatrul Rinpoche Ngawang Lobzang,tsha sprul rin po che ngag dbang blo bzang,NULL,NULL
2419,P1161,Dungkar,Dungkar Lobzang Trinle,dung dkar,dung dkar blo bzang 'phrin las,དུང་དཀར་བློ་བཟང་འཕྲིན་ལས།,1927,0,,NULL,1997,0,,NULL,M,,"The Eighth Dungkar, Dungkar Lobzang Trinle",dung dkar 08 dung dkar blo bzang 'phrin las,8,NULL
2423,P1165,,Surkhang Wangchen Gelek,,zur khang dbang chen bde legs,ཟུར་ཁང་དབང་ཆེན་བདེ་ལེགས།,1910,0,,NULL,1977,0,,NULL,M,,Surkhang Wangchen Gelek,zur khang dbang chen bde legs,NULL,NULL
2424,P1166,,Horkhang Sonam Pelbar,,hor khang bsod nams dpal 'bar,ཧོར་ཁང་བསོད་ནམས་དཔལ་འབར།,1919,0,,NULL,1994,0,,NULL,M,,Horkhang Sonam Pelbar,hor khang bsod nams dpal 'bar,NULL,NULL
2427,P1169,,Pelden Gyeltsen,,dpal ldan rgyal mtshan,དཔལ་ལྡན་རྒྱལ་མཚན།,1535,0,,NULL,NULL,0,,64,M,,Pelden Gyeltsen,dpal ldan rgyal mtshan,NULL,NULL
2434,P1175,,Yonten Gyatso,,yon tan rgya mtsho,ཡོན་ཏན་རྒྱ་མཚོ།,1516,0,,NULL,1551,0,,NULL,M,,Yonten Gyatso,yon tan rgya mtsho,NULL,NULL
2436,P1177,Detri,Lobzang Dondrub,sde khri,blo bzang don grub,བློ་བཟང་དོན་གྲུབ།,1673,0,,NULL,1746,0,,NULL,M,,"The First Detri, Lobzang Dondrub",sde khri 01 blo bzang don grub,1,NULL
2441,P1181,Changkya,Drakpa Wozer,lcang skya,grags pa 'od zer,གྲགས་པ་འོད་ཟེར།,1575,0,,64,1641,0,,NULL,M,,"The First Changkya, Drakpa Wozer",lcang skya 01 grags pa 'od zer,1,NULL
2442,P1182,,Sumpa Damcho Gyatso,,sum pa dam chos rgya mtsho,སུམ་པ་དམ་ཆོས་རྒྱ་མཚོ།,NULL,0,,NULL,1651,0,,NULL,M,,Sumpa Damcho Gyatso,sum pa dam chos rgya mtsho,NULL,NULL
2456,P1195,Ganden Tripa,Khyenrab Yonten Gyatso,dga' ldan khri pa,mkhyen rab yon tan rgya mtsho,མཁྱེན་རབ་ཡོན་ཏན་རྒྱ་མཚོ།,1837,1,,NULL,NULL,0,,NULL,M,,"The Eighty-Eighth Ganden Tripa, Khyenrab Yonten Gyatso",dga' ldan khri pa 88 mkhyen rab yon tan rgya mtsho,88,NULL
2462,P120,Pakpa Lha,Gyelwa Gyatso,phags pa lha,rgyal ba rgya mtsho,རྒྱལ་བ་རྒྱ་མཚོ།,1644,0,,NULL,1713,0,,NULL,M,,"The Fifth Pakpa Lha, Gyelwa Gyatso",phags pa lha 05 rgyal ba rgya mtsho,5,NULL
2469,P1206,Maṇipa,Lobzang Chopel Gyatso,ma Ni pa,blo bzang chos 'phel rgya mtsho,བློ་བཟང་ཆོས་འཕེལ་རྒྱ་མཚོ།,1898,0,,NULL,1929,0,,NULL,M,,"The Fifth Maṇipa, Lobzang Chopel Gyatso",ma Ni pa 05 blo bzang chos 'phel rgya mtsho,5,NULL
2483,P1219,,Kyoton Monlam Tsultrim,,skyo ston smon lam tshul khrims,སྐྱོ་སྟོན་སྨོན་ལམ་ཚུལ་ཁྲིམས།,1219,0,,NULL,1299,0,,NULL,M,,Kyoton Monlam Tsultrim,skyo ston smon lam tshul khrims,NULL,NULL
2491,P1226,,Lama Dampa Sonam Gyeltsen,,bla ma dam pa bsod nams rgyal mtshan,བླ་མ་དམ་པ་བསོད་ནམས་རྒྱལ་མཚན།,1312,0,,NULL,1375,0,,NULL,M,,Lama Dampa Sonam Gyeltsen,bla ma dam pa bsod nams rgyal mtshan,NULL,NULL
2495,P123,,Sherab Gyatso,,shes rab rgya mtsho,ཤེས་རབ་རྒྱ་མཚོ།,1803,0,,NULL,1875,0,,NULL,M,,Sherab Gyatso,shes rab rgya mtsho,NULL,NULL
2504,P1238,,Machik Zhama,,ma gcig zha ma,མ་གཅིག་ཞ་མ།,1062,0,,NULL,1149,0,,NULL,F,,Machik Zhama,ma gcig zha ma,NULL,NULL
2506,P124,Jamyang Zhepa,Tubten Jigme Gyatso,jam dbyangs bzhad pa,thub bstan 'jigs med rgya mtsho,ཐུབ་བསྟན་འཇིགས་མེད་རྒྱ་མཚོ།,1792,0,,NULL,1855,0,,NULL,M,,"The Third Jamyang Zhepa, Tubten Jigme Gyatso",jam dbyangs bzhad pa 03 thub bstan 'jigs med rgya mtsho,3,NULL
2510,P1243,,Padampa Sanggye,,pha dam pa sangs rgyas,ཕ་དམ་པ་སངས་རྒྱས།,NULL,0,,41,1117,0,,NULL,M,http://www.himalayanart.org/search/set.cfm?setID=347,Padampa Sanggye,pha dam pa sangs rgyas,NULL,NULL
