TOL ID,TBRC RID,Primary title,Primary name,Primary name encoding,Wylie title,Wylie name,Tibetan,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Display name English,Display name Wylie,Ordinal,Display name Tibetan,Wikidata ID,Lotsawa House URL,HAR URL
15,P00EGS1016586,,byang chub rgyal po,bo-x-ewts,,byang chub rgyal po,བྱང་ཆུབ་རྒྱལ་པོ།,,0,,,,0,,,,byang chub rgyal po,byang chub rgyal po,,བྱང་ཆུབ་རྒྱལ་པོ།,,,
17,P00EGS1016610,,bstan 'dzin chos nyid,bo-x-ewts,,bstan 'dzin chos nyid,བསྟན་འཛིན་ཆོས་ཉིད།,,0,,,,0,,,,bstan 'dzin chos nyid,bstan 'dzin chos nyid,,བསྟན་འཛིན་ཆོས་ཉིད།,,,
18,P00EGS1016614,,byams pa tshul khrims rnam rgyal,bo-x-ewts,,byams pa tshul khrims rnam rgyal,བྱམས་པ་ཚུལ་ཁྲིམས་རྣམ་རྒྱལ།,,0,,,1993,0,,,,byams pa tshul khrims rnam rgyal,byams pa tshul khrims rnam rgyal,,བྱམས་པ་ཚུལ་ཁྲིམས་རྣམ་རྒྱལ།,,,
19,P00EGS1016617,,mdo sngags bstan 'dzin,bo-x-ewts,,mdo sngags bstan 'dzin,མདོ་སྔགས་བསྟན་འཛིན།,,0,,,,0,,,,mdo sngags bstan 'dzin,mdo sngags bstan 'dzin,,མདོ་སྔགས་བསྟན་འཛིན།,,,
20,P00EGS1016618,,lhun grub skal bzang,bo-x-ewts,,lhun grub skal bzang,ལྷུན་གྲུབ་སྐལ་བཟང།,,0,,,,0,,,,lhun grub skal bzang,lhun grub skal bzang,,ལྷུན་གྲུབ་སྐལ་བཟང།,,,
21,P00EGS1016619,,jam dbyangs chos mtsho,bo-x-ewts,,jam dbyangs chos mtsho,འཇམ་དབྱངས་ཆོས་མཚོ།,,0,,,,0,,,F,jam dbyangs chos mtsho,jam dbyangs chos mtsho,,འཇམ་དབྱངས་ཆོས་མཚོ།,,,
22,P00EGS1016624,,rdo rje bde chen gling pa,bo-x-ewts,,rdo rje bde chen gling pa,རྡོ་རྗེ་བདེ་ཆེན་གླིང་པ།,,0,,,1928,0,,,,rdo rje bde chen gling pa,rdo rje bde chen gling pa,,རྡོ་རྗེ་བདེ་ཆེན་གླིང་པ།,,https://www.lotsawahouse.org/tibetan-masters/dorje-dechen-lingpa/,
23,P00EGS1016642,,Ratnākaraśānti,sa-x-iast,,rin chen 'byung gnas zhi ba,རིན་ཆེན་འབྱུང་གནས་ཞི་བ།,970,1,,,1045,1,,,M,Ratnākaraśānti,rin chen 'byung gnas zhi ba,,རིན་ཆེན་འབྱུང་གནས་ཞི་བ།,,,
24,P00EGS1016688,,pad+ma kun dga',bo-x-ewts,,pad+ma kun dga',པདྨ་ཀུན་དགའ།,,0,,,,0,,,,pad+ma kun dga',pad+ma kun dga',,པདྨ་ཀུན་དགའ།,,,
26,P00EGS1016697,,jigs med dbang rgyal,bo-x-ewts,,jigs med dbang rgyal,འཇིགས་མེད་དབང་རྒྱལ།,,0,,,,0,,,,jigs med dbang rgyal,jigs med dbang rgyal,,འཇིགས་མེད་དབང་རྒྱལ།,,,
27,P00EGS1016698,,bsod nams dbang rgyal,bo-x-ewts,,bsod nams dbang rgyal,བསོད་ནམས་དབང་རྒྱལ།,,0,,,,0,,,,bsod nams dbang rgyal,bsod nams dbang rgyal,,བསོད་ནམས་དབང་རྒྱལ།,,,
28,P00EGS1016715,,zla ba'i 'od zer,bo-x-ewts,,zla ba'i 'od zer,ཟླ་བའི་འོད་ཟེར།,,0,,,,0,,,,zla ba'i 'od zer,zla ba'i 'od zer,,ཟླ་བའི་འོད་ཟེར།,,,
29,P00EGS1016721,Gyara Tulku,Lobzang Tendzin Chokyi Wangchuk,en,rgya ra sprul sku,blo bzang bstan 'dzin chos kyi dbang phyug,བློ་བཟང་བསྟན་འཛིན་ཆོས་ཀྱི་དབང་ཕྱུག།,1918,0,,,1976,0,,,M,"The Eighth Gyara Tulku, Lobzang Tendzin Chokyi Wangchuk",rgya ra sprul sku 08 blo bzang bstan 'dzin chos kyi dbang phyug,8,རྒྱ་ར་སྤྲུལ་སྐུ ༠༨ བློ་བཟང་བསྟན་འཛིན་ཆོས་ཀྱི་དབང་ཕྱུག།,,,
30,P00EGS1016724,,blo bzang shes rab,bo-x-ewts,,blo bzang shes rab,བློ་བཟང་ཤེས་རབ།,,0,,,,0,,,,blo bzang shes rab,blo bzang shes rab,,བློ་བཟང་ཤེས་རབ།,,,
31,P00EGS1016727,,chos dbang,bo-x-ewts,,chos dbang,ཆོས་དབང།,,0,,,,0,,,,chos dbang,chos dbang,,ཆོས་དབང།,,,
32,P00EGS1016730,,Tsarong Yangchen Dolkar,en,,tsha rong dbyangs can sgrol dkar,ཚ་རོང་དབྱངས་ཅན་སྒྲོལ་དཀར།,,0,,,,0,,,F,Tsarong Yangchen Dolkar,tsha rong dbyangs can sgrol dkar,,ཚ་རོང་དབྱངས་ཅན་སྒྲོལ་དཀར།,,,
34,P00EGS1016742,,"bstan 'dzin 'jam dbyangs, a tshogs",bo-x-ewts,,"bstan 'dzin 'jam dbyangs, a tshogs","བསྟན་འཛིན་འཇམ་དབྱངས,་ཨ་ཚོགས།",,0,,,,0,,,,"bstan 'dzin 'jam dbyangs, a tshogs","bstan 'dzin 'jam dbyangs, a tshogs",,"བསྟན་འཛིན་འཇམ་དབྱངས,་ཨ་ཚོགས།",,,
35,P00EGS1016749,,shes rab zla shar,bo-x-ewts,,shes rab zla shar,ཤེས་རབ་ཟླ་ཤར།,,0,,,,0,,,,shes rab zla shar,shes rab zla shar,,ཤེས་རབ་ཟླ་ཤར།,,,
36,P00EGS1016778,,g.yag dgra khra sbog,bo-x-ewts,,g.yag dgra khra sbog,གཡག་དགྲ་ཁྲ་སྦོག།,,0,,,,0,,,,g.yag dgra khra sbog,g.yag dgra khra sbog,,གཡག་དགྲ་ཁྲ་སྦོག།,,,
37,P00EGS1016930,,bkra shis rnam rgyal,bo-x-ewts,,bkra shis rnam rgyal,བཀྲ་ཤིས་རྣམ་རྒྱལ།,,0,,,,0,,,,bkra shis rnam rgyal,bkra shis rnam rgyal,,བཀྲ་ཤིས་རྣམ་རྒྱལ།,,,
38,P00EGS1016932,,tshe ring dpal 'byor,bo-x-ewts,,tshe ring dpal 'byor,ཚེ་རིང་དཔལ་འབྱོར།,,0,,,,0,,,,tshe ring dpal 'byor,tshe ring dpal 'byor,,ཚེ་རིང་དཔལ་འབྱོར།,,,
39,P00EGS1016934,,rdo rje rig 'dzin,bo-x-ewts,,rdo rje rig 'dzin,རྡོ་རྗེ་རིག་འཛིན།,,0,,,,0,,,,rdo rje rig 'dzin,rdo rje rig 'dzin,,རྡོ་རྗེ་རིག་འཛིན།,,,
40,P00EGS1016936,,Acharya Sempa Dorje,en,,a tsarya sems dpa' rdo rje,ཨ་ཙརྱ་སེམས་དཔའ་རྡོ་རྗེ།,1930,0,,,2022,0,,,M,Acharya Sempa Dorje,a tsarya sems dpa' rdo rje,,ཨ་ཙརྱ་སེམས་དཔའ་རྡོ་རྗེ།,,,
41,P00EGS1016942,,blo bzang chos grags,bo-x-ewts,,blo bzang chos grags,བློ་བཟང་ཆོས་གྲགས།,,0,,,,0,,,,blo bzang chos grags,blo bzang chos grags,,བློ་བཟང་ཆོས་གྲགས།,,,
42,P00EGS1016948,,legs bshad,bo-x-ewts,,legs bshad,ལེགས་བཤད།,,0,,,,0,,,,legs bshad,legs bshad,,ལེགས་བཤད།,,,
43,P00EGS1016953,,ban de tshe ring,bo-x-ewts,,ban de tshe ring,བན་དེ་ཚེ་རིང།,,0,,,,0,,,,ban de tshe ring,ban de tshe ring,,བན་དེ་ཚེ་རིང།,,,
44,P00EGS1016957,,tshe brtan rdo rje,bo-x-ewts,,tshe brtan rdo rje,ཚེ་བརྟན་རྡོ་རྗེ།,,0,,,,0,,,,tshe brtan rdo rje,tshe brtan rdo rje,,ཚེ་བརྟན་རྡོ་རྗེ།,,,
45,P00EGS1016961,,thub bstan bsam grub,bo-x-ewts,,thub bstan bsam grub,ཐུབ་བསྟན་བསམ་གྲུབ།,,0,,,,0,,,,thub bstan bsam grub,thub bstan bsam grub,,ཐུབ་བསྟན་བསམ་གྲུབ།,,,
46,P00EGS1016970,,blo bzang snyan grags,bo-x-ewts,,blo bzang snyan grags,བློ་བཟང་སྙན་གྲགས།,,0,,,,0,,,,blo bzang snyan grags,blo bzang snyan grags,,བློ་བཟང་སྙན་གྲགས།,,,
47,P00EGS1017011,,sanggay,en,,seng+ge,སེངྒེ།,,0,,,,0,,,,sanggay,seng+ge,,སེངྒེ།,,,
48,P00EGS1017025,,jigs med dbang rgyal,bo-x-ewts,,jigs med dbang rgyal,འཇིགས་མེད་དབང་རྒྱལ།,,0,,,,0,,,,jigs med dbang rgyal,jigs med dbang rgyal,,འཇིགས་མེད་དབང་རྒྱལ།,,,
49,P00EGS1017026,,blo bzang 'jam dbyangs,bo-x-ewts,,blo bzang 'jam dbyangs,བློ་བཟང་འཇམ་དབྱངས།,,0,,,,0,,,,blo bzang 'jam dbyangs,blo bzang 'jam dbyangs,,བློ་བཟང་འཇམ་དབྱངས།,,,
50,P00EGS1017029,,tshe dbang rig 'dzin,bo-x-ewts,,tshe dbang rig 'dzin,ཚེ་དབང་རིག་འཛིན།,,0,,,,0,,,,tshe dbang rig 'dzin,tshe dbang rig 'dzin,,ཚེ་དབང་རིག་འཛིན།,,,
51,P00EGS1017036,,zam gdong rin po che blo bzang bstan 'dzin,bo-x-ewts,,zam gdong rin po che blo bzang bstan 'dzin,ཟམ་གདོང་རིན་པོ་ཆེ་བློ་བཟང་བསྟན་འཛིན།,,0,,,,0,,,,zam gdong rin po che blo bzang bstan 'dzin,zam gdong rin po che blo bzang bstan 'dzin,,ཟམ་གདོང་རིན་པོ་ཆེ་བློ་བཟང་བསྟན་འཛིན།,,,
52,P00EGS1017041,,lha 'brug rgyal,bo-x-ewts,,lha 'brug rgyal,ལྷ་འབྲུག་རྒྱལ།,,0,,,,0,,,,lha 'brug rgyal,lha 'brug rgyal,,ལྷ་འབྲུག་རྒྱལ།,,,
53,P00EGS1017046,,bsam gtan rnam rgyal,bo-x-ewts,,bsam gtan rnam rgyal,བསམ་གཏན་རྣམ་རྒྱལ།,,0,,,,0,,,,bsam gtan rnam rgyal,bsam gtan rnam rgyal,,བསམ་གཏན་རྣམ་རྒྱལ།,,,
54,P00EGS1017053,,karma gzhan phan rgya mtsho,bo-x-ewts,,karma gzhan phan rgya mtsho,ཀརྨ་གཞན་ཕན་རྒྱ་མཚོ།,,0,,,,0,,,,karma gzhan phan rgya mtsho,karma gzhan phan rgya mtsho,,ཀརྨ་གཞན་ཕན་རྒྱ་མཚོ།,,,
55,P00EGS1017062,,blo bzang dar rgyas,bo-x-ewts,,blo bzang dar rgyas,བློ་བཟང་དར་རྒྱས།,,0,,,,0,,,,blo bzang dar rgyas,blo bzang dar rgyas,,བློ་བཟང་དར་རྒྱས།,,,
56,P00EGS1017075,,byams pa bstan 'dzin,bo-x-ewts,,byams pa bstan 'dzin,བྱམས་པ་བསྟན་འཛིན།,,0,,,,0,,,,byams pa bstan 'dzin,byams pa bstan 'dzin,,བྱམས་པ་བསྟན་འཛིན།,,,
57,P00EGS1017076,,kun dga' chos kyi dbang po,bo-x-ewts,,kun dga' chos kyi dbang po,ཀུན་དགའ་ཆོས་ཀྱི་དབང་པོ།,,0,,,,0,,,,kun dga' chos kyi dbang po,kun dga' chos kyi dbang po,,ཀུན་དགའ་ཆོས་ཀྱི་དབང་པོ།,,,
58,P00EGS1017103,,thub bstan 'jam dbyangs,bo-x-ewts,,thub bstan 'jam dbyangs,ཐུབ་བསྟན་འཇམ་དབྱངས།,,0,,,,0,,,,thub bstan 'jam dbyangs,thub bstan 'jam dbyangs,,ཐུབ་བསྟན་འཇམ་དབྱངས།,,,
59,P00EGS1017115,,"blo bzang, bya gzhung",bo-x-ewts,,"blo bzang, bya gzhung","བློ་བཟང,་བྱ་གཞུང།",,0,,,,0,,,,"blo bzang, bya gzhung","blo bzang, bya gzhung",,"བློ་བཟང,་བྱ་གཞུང།",,,
60,P00EGS1017116,,skyang rtse sprul sku skye brgyud,bo-x-ewts,,skyang rtse sprul sku skye brgyud,སྐྱང་རྩེ་སྤྲུལ་སྐུ་སྐྱེ་བརྒྱུད།,,0,,,,0,,,,skyang rtse sprul sku skye brgyud,skyang rtse sprul sku skye brgyud,,སྐྱང་རྩེ་སྤྲུལ་སྐུ་སྐྱེ་བརྒྱུད།,,,
61,P00EGS1017135,,Dorje Sherab,en,,rdo rje shes rab,རྡོ་རྗེ་ཤེས་རབ།,,0,,45,,0,,,M,Dorje Sherab,rdo rje shes rab,,རྡོ་རྗེ་ཤེས་རབ།,,,
62,P00EGS1017152,Lelung Jedrung,Tenzin Puntsok Loden,en,sle lung rje drung,bstan 'dzin phun tshogs blo ldan,བསྟན་འཛིན་ཕུན་ཚོགས་བློ་ལྡན།,,0,,,,0,,,,"The Eleventh Lelung Jedrung, Tenzin Puntsok Loden",sle lung rje drung 11 bstan 'dzin phun tshogs blo ldan,11,སླེ་ལུང་རྗེ་དྲུང ༡༡ བསྟན་འཛིན་ཕུན་ཚོགས་བློ་ལྡན།,,,
63,P00EGS1017158,,rin chen rdo rje,bo-x-ewts,,rin chen rdo rje,རིན་ཆེན་རྡོ་རྗེ།,,0,,,,0,,,,rin chen rdo rje,rin chen rdo rje,,རིན་ཆེན་རྡོ་རྗེ།,,,
64,P00EGS1017159,,tshe ring chos 'phel,bo-x-ewts,,tshe ring chos 'phel,ཚེ་རིང་ཆོས་འཕེལ།,,0,,,,0,,,,tshe ring chos 'phel,tshe ring chos 'phel,,ཚེ་རིང་ཆོས་འཕེལ།,,,
65,P00EGS1017164,,tshe ring dpal 'byor,bo-x-ewts,,tshe ring dpal 'byor,ཚེ་རིང་དཔལ་འབྱོར།,,0,,,,0,,,,tshe ring dpal 'byor,tshe ring dpal 'byor,,ཚེ་རིང་དཔལ་འབྱོར།,,,
66,P00EGS1017168,,tshe ring stobs rgyal,bo-x-ewts,,tshe ring stobs rgyal,ཚེ་རིང་སྟོབས་རྒྱལ།,,0,,,,0,,,,tshe ring stobs rgyal,tshe ring stobs rgyal,,ཚེ་རིང་སྟོབས་རྒྱལ།,,,
67,P00EGS1017176,,gzhan phan 'od zer,bo-x-ewts,,gzhan phan 'od zer,གཞན་ཕན་འོད་ཟེར།,,0,,,,0,,,,gzhan phan 'od zer,gzhan phan 'od zer,,གཞན་ཕན་འོད་ཟེར།,,,
68,P00EGS1017192,,blo gros rab gsal,bo-x-ewts,,blo gros rab gsal,བློ་གྲོས་རབ་གསལ།,,0,,,,0,,,,blo gros rab gsal,blo gros rab gsal,,བློ་གྲོས་རབ་གསལ།,,,
69,P00EGS1017211,,blo bzang dam chos,bo-x-ewts,,blo bzang dam chos,བློ་བཟང་དམ་ཆོས།,,0,,,,0,,,,blo bzang dam chos,blo bzang dam chos,,བློ་བཟང་དམ་ཆོས།,,,
70,P00EGS1017215,,kunsang tobgeyl,en,,kun bzang stobs rgyal,ཀུན་བཟང་སྟོབས་རྒྱལ།,,0,,,,0,,,,kunsang tobgeyl,kun bzang stobs rgyal,,ཀུན་བཟང་སྟོབས་རྒྱལ།,,,
72,P00EGS1017240,,bkra shis bstan 'dzin,bo-x-ewts,,bkra shis bstan 'dzin,བཀྲ་ཤིས་བསྟན་འཛིན།,,0,,,,0,,,,bkra shis bstan 'dzin,bkra shis bstan 'dzin,,བཀྲ་ཤིས་བསྟན་འཛིན།,,,
73,P00EGS1017291,,tshe dbang,bo-x-ewts,,tshe dbang,ཚེ་དབང།,,0,,,,0,,,,tshe dbang,tshe dbang,,ཚེ་དབང།,,,
74,P00EGS1017299,,chos dbyings thos bsam,bo-x-ewts,,chos dbyings thos bsam,ཆོས་དབྱིངས་ཐོས་བསམ།,,0,,,,0,,,,chos dbyings thos bsam,chos dbyings thos bsam,,ཆོས་དབྱིངས་ཐོས་བསམ།,,,
75,P00EGS1017340,,bstan pa bkra shis,bo-x-ewts,,bstan pa bkra shis,བསྟན་པ་བཀྲ་ཤིས།,,0,,,,0,,,,bstan pa bkra shis,bstan pa bkra shis,,བསྟན་པ་བཀྲ་ཤིས།,,,
76,P00EGS1017344,,pa sangs yon tan,bo-x-ewts,,pa sangs yon tan,པ་སངས་ཡོན་ཏན།,,0,,,,0,,,,pa sangs yon tan,pa sangs yon tan,,པ་སངས་ཡོན་ཏན།,,,
77,P00EGS1017348,,od zer,bo-x-ewts,,od zer,འོད་ཟེར།,,0,,,,0,,,,od zer,od zer,,འོད་ཟེར།,,,
79,P00EGS1017394,,kar.ma rdo rje,bo-x-ewts,,kar.ma rdo rje,ཀརམ་རྡོ་རྗེ།,,0,,,,0,,,,kar.ma rdo rje,kar.ma rdo rje,,ཀརམ་རྡོ་རྗེ།,,,
80,P00EGS1017397,,byams pa lha btsun grags pa,bo-x-ewts,,byams pa lha btsun grags pa,བྱམས་པ་ལྷ་བཙུན་གྲགས་པ།,,0,,,,0,,,M,byams pa lha btsun grags pa,byams pa lha btsun grags pa,,བྱམས་པ་ལྷ་བཙུན་གྲགས་པ།,,,
81,P00EGS1017400,,blo bzang don grub grags pa mtha' yas,bo-x-ewts,,blo bzang don grub grags pa mtha' yas,བློ་བཟང་དོན་གྲུབ་གྲགས་པ་མཐའ་ཡས།,,0,,,1950,0,,,,blo bzang don grub grags pa mtha' yas,blo bzang don grub grags pa mtha' yas,,བློ་བཟང་དོན་གྲུབ་གྲགས་པ་མཐའ་ཡས།,,,
82,P00EGS1017418,,dkon mchog bstan 'dzin,bo-x-ewts,,dkon mchog bstan 'dzin,དཀོན་མཆོག་བསྟན་འཛིན།,,0,,,,0,,,,dkon mchog bstan 'dzin,dkon mchog bstan 'dzin,,དཀོན་མཆོག་བསྟན་འཛིན།,,,
83,P00EGS1017424,,o rgyan chos 'phel,bo-x-ewts,,o rgyan chos 'phel,ཨོ་རྒྱན་ཆོས་འཕེལ།,,0,,,,0,,,,o rgyan chos 'phel,o rgyan chos 'phel,,ཨོ་རྒྱན་ཆོས་འཕེལ།,,,
84,P00EGS1017608,,Lasum Gyelwa Jangchub,en,,la gsum rgyal ba byang chub,ལ་གསུམ་རྒྱལ་བ་བྱང་ཆུབ།,,0,,30,,0,,32,M,Lasum Gyelwa Jangchub,la gsum rgyal ba byang chub,,ལ་གསུམ་རྒྱལ་བ་བྱང་ཆུབ།,,,
85,P00EGS1017609,,kun bzang chos kyi rgya mtsho,bo-x-ewts,,kun bzang chos kyi rgya mtsho,ཀུན་བཟང་ཆོས་ཀྱི་རྒྱ་མཚོ།,,0,,,,0,,,,kun bzang chos kyi rgya mtsho,kun bzang chos kyi rgya mtsho,,ཀུན་བཟང་ཆོས་ཀྱི་རྒྱ་མཚོ།,,,
86,P00EGS1017610,,Langdro Konchok Jungne,en,,lang gro dkon mchog 'byung gnas,ལང་གྲོ་དཀོན་མཆོག་འབྱུང་གནས།,,0,,30,,0,,32,M,Langdro Konchok Jungne,lang gro dkon mchog 'byung gnas,,ལང་གྲོ་དཀོན་མཆོག་འབྱུང་གནས།,,,
87,P00EGS1017611,,lang gro snang bzher,bo-x-ewts,,lang gro snang bzher,ལང་གྲོ་སྣང་བཞེར།,,0,,,,0,,,,lang gro snang bzher,lang gro snang bzher,,ལང་གྲོ་སྣང་བཞེར།,,,
88,P00EGS1017612,,lang gro khrom legs,bo-x-ewts,,lang gro khrom legs,ལང་གྲོ་ཁྲོམ་ལེགས།,,0,,,,0,,,,lang gro khrom legs,lang gro khrom legs,,ལང་གྲོ་ཁྲོམ་ལེགས།,,,
89,P00EGS1017613,,lig mi rgya,bo-x-ewts,,lig mi rgya,ལིག་མི་རྒྱ།,,0,,,,0,,,,lig mi rgya,lig mi rgya,,ལིག་མི་རྒྱ།,,,
90,P00EGS1017614,,bshad sgrub bstan pa'i nyi ma,bo-x-ewts,,bshad sgrub bstan pa'i nyi ma,བཤད་སྒྲུབ་བསྟན་པའི་ཉི་མ།,,0,,,,0,,,,bshad sgrub bstan pa'i nyi ma,bshad sgrub bstan pa'i nyi ma,,བཤད་སྒྲུབ་བསྟན་པའི་ཉི་མ།,,,
91,P00EGS1017615,,lang myes gzigs,bo-x-ewts,,lang myes gzigs,ལང་མྱེས་གཟིགས།,,0,,,,0,,,,lang myes gzigs,lang myes gzigs,,ལང་མྱེས་གཟིགས།,,,
92,P00EGS1017616,,lam khri bde blag khri btsan,bo-x-ewts,,lam khri bde blag khri btsan,ལམ་ཁྲི་བདེ་བླག་ཁྲི་བཙན།,,0,,,,0,,,,lam khri bde blag khri btsan,lam khri bde blag khri btsan,,ལམ་ཁྲི་བདེ་བླག་ཁྲི་བཙན།,,,
93,P00EGS1017617,,ye shes dpal,bo-x-ewts,,ye shes dpal,ཡེ་ཤེས་དཔལ།,,0,,,1365,0,,,,ye shes dpal,ye shes dpal,,ཡེ་ཤེས་དཔལ།,,,
94,P00EGS1017618,,shAkya bsod nams,bo-x-ewts,,shAkya bsod nams,ཤཱཀྱ་བསོད་ནམས།,,0,,,,0,,,,shAkya bsod nams,shAkya bsod nams,,ཤཱཀྱ་བསོད་ནམས།,,,
95,P00EGS1017619,,rong bo 'phrul gyi lde btsan,bo-x-ewts,,rong po 'phrul gyi lde btsan,རོང་པོ་འཕྲུལ་གྱི་ལྡེ་བཙན།,,0,,,,0,,,,rong bo 'phrul gyi lde btsan,rong po 'phrul gyi lde btsan,,རོང་པོ་འཕྲུལ་གྱི་ལྡེ་བཙན།,,,
96,P00EGS1017620,,Lang Pelgyi Sengge,en,,rlangs dpal gyi seng+ge,རླངས་དཔལ་གྱི་སེངྒེ།,,0,,30,,0,,32,M,Lang Pelgyi Sengge,rlangs dpal gyi seng+ge,,རླངས་དཔལ་གྱི་སེངྒེ།,,,
97,P00EGS1017621,,rlangs blon khri sum rje speg lha,bo-x-ewts,,rlangs blon khri sum rje speg lha,རླངས་བློན་ཁྲི་སུམ་རྗེ་སྤེག་ལྷ།,,0,,,,0,,,,rlangs blon khri sum rje speg lha,rlangs blon khri sum rje speg lha,,རླངས་བློན་ཁྲི་སུམ་རྗེ་སྤེག་ལྷ།,,,
98,P00EGS1017622,,rlangs blon gsal slebs,bo-x-ewts,,rlangs blon gsal slebs,རླངས་བློན་གསལ་སླེབས།,,0,,,,0,,,,rlangs blon gsal slebs,rlangs blon gsal slebs,,རླངས་བློན་གསལ་སླེབས།,,,
99,P00EGS1017623,,rlangs blon bsam skyes,bo-x-ewts,,rlangs blon bsam skyes,རླངས་བློན་བསམ་སྐྱེས།,,0,,,,0,,,,rlangs blon bsam skyes,rlangs blon bsam skyes,,རླངས་བློན་བསམ་སྐྱེས།,,,
100,P00EGS1017624,,rlangs a myes byang chub 'dre khol,bo-x-ewts,,rlangs a myes byang chub 'dre khol,རླངས་ཨ་མྱེས་བྱང་ཆུབ་འདྲེ་ཁོལ།,,0,,,,0,,,,rlangs a myes byang chub 'dre khol,rlangs a myes byang chub 'dre khol,,རླངས་ཨ་མྱེས་བྱང་ཆུབ་འདྲེ་ཁོལ།,,,
