TOL ID,TBRC RID,Primary title,Primary name,Primary name encoding,Wylie title,Wylie name,Tibetan,Display name English,Display name Wylie,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Ordinal,Wikidata ID,Lotsawa House URL,HAR URL,RMA URL,84000 URL
10006,P7344,,rma bya,bo-x-ewts,,rma bya,,rma bya,rma bya,,0,,,,0,,,M,,,,,,
10007,P7345,,byang chub chos 'phel,bo-x-ewts,,byang chub chos 'phel,,byang chub chos 'phel,byang chub chos 'phel,,0,,,,0,,,M,,,,,,
10008,P7346,,"ho, hung cing",bo-x-ewts,,"ho, hung cing",,"ho, hung cing","ho, hung cing",,0,,,,0,,,M,,,,,,
10009,P7347,,bu bzhi,bo-x-ewts,,bu bzhi,,bu bzhi,bu bzhi,1954,0,,,,0,,,M,,,,,,
10010,P7348,,bsod nams dbang ldan,bo-x-ewts,,bsod nams dbang ldan,,bsod nams dbang ldan,bsod nams dbang ldan,,0,,,,0,,,M,,,,,,
10011,P735,,pad+ma dbang rgyal,bo-x-ewts,,pad+ma dbang rgyal,,pad+ma dbang rgyal,pad+ma dbang rgyal,,0,,,,0,,,M,,,,,,
10012,P7351,,'jam dbyangs bsod nams bzang po,bo-x-ewts,,'jam dbyangs bsod nams bzang po,,'jam dbyangs bsod nams bzang po,'jam dbyangs bsod nams bzang po,,0,,,,0,,,M,,,,,,
10013,P7353,,thub bstan mchog grub,bo-x-ewts,,thub bstan mchog grub,,thub bstan mchog grub,thub bstan mchog grub,,0,,,,0,,,M,,,,,,
10014,P7354,,'khor bde sprul sku,bo-x-ewts,,'khor bde sprul sku,,'khor bde sprul sku,'khor bde sprul sku,,0,,,,0,,,M,,,,,,
10015,P7356,,tshangs dbyangs rgya mtsho,bo-x-ewts,,tshangs dbyangs rgya mtsho,,tshangs dbyangs rgya mtsho,tshangs dbyangs rgya mtsho,,0,,,,0,,,M,,,,,,
10016,P7357,,bu chung gnam lo,bo-x-ewts,,bu chung gnam lo,,bu chung gnam lo,bu chung gnam lo,,0,,,,0,,,M,,,,,,
10017,P7358,,grogs skyid,bo-x-ewts,,grogs skyid,,grogs skyid,grogs skyid,,0,,,,0,,,F,,,,,,
10018,P7359,Penor,Rigdzin Pelchen Dupa,en,pad nor,rig 'dzin dpal chen 'dus pa,རིག་འཛིན་དཔལ་ཆེན་འདུས་པ།,"The Second Penor, Rigdzin Pelchen Dupa",pad nor 02 rig 'dzin dpal chen 'dus pa,1887,0,,,1932,0,,,M,02,,,,,
10019,P736,,Dudjom Rinpoche Jigdrel Yeshe Dorje,en,,bdud 'joms rin po che 'jigs bral ye shes rdo rje,བདུད་འཇོམས་རིན་པོ་ཆེ་འཇིགས་བྲལ་ཡེ་ཤེས་རྡོ་རྗེ།,Dudjom Rinpoche Jigdrel Yeshe Dorje,bdud 'joms rin po che 'jigs bral ye shes rdo rje,1904,0,,,1987,0,,,M,,Q1688950,https://www.lotsawahouse.org/tibetan-masters/dudjom-rinpoche/,,,
1002,P0RK226,,rgya zhang phug pa,bo-x-ewts,,rgya zhang phug pa,,rgya zhang phug pa,rgya zhang phug pa,,0,,,,0,,,M,,,,,,
10020,P7360,,skal bzang tshe brtan,bo-x-ewts,,skal bzang tshe brtan,,skal bzang tshe brtan,skal bzang tshe brtan,,0,,,,0,,,M,,,,,,
10021,P7361,,skyabs te,bo-x-ewts,,skyabs te,,skyabs te,skyabs te,1949,0,,,,0,,,M,,,,,,
10022,P7362,,"tchekhoff, genevieve",en,,"tchekhoff, genevieve",,"tchekhoff, genevieve","tchekhoff, genevieve",1951,0,,,,0,,,F,,,,,,
10023,P7363,,"comolli, yvan",en,,"comolli, yvan",,"comolli, yvan","comolli, yvan",1922,0,,,,0,,,M,,,,,,
10024,P7364,,"o si thu lo hphu si ki, nyi ku rA",bo-x-ewts,,"o si thu lo hphu si ki, nyi ku rA",,"o si thu lo hphu si ki, nyi ku rA","o si thu lo hphu si ki, nyi ku rA",1904,0,,,,0,,,M,,,,,,
10025,P7365,,tshe ring chos 'phel,bo-x-ewts,,tshe ring chos 'phel,,tshe ring chos 'phel,tshe ring chos 'phel,1952,0,,,,0,,,M,,,,,,
10026,P7366,,sangs rgyas,bo-x-ewts,,sangs rgyas,,sangs rgyas,sangs rgyas,,0,,,,0,,,M,,,,,,
10027,P7367,,dpal ldan,bo-x-ewts,,dpal ldan,,dpal ldan,dpal ldan,,0,,,,0,,,M,,,,,,
10028,P7368,,mao tsetung,en,,mao tsetung,,mao tsetung,mao tsetung,1893,0,,,1976,0,,,M,,,,,,
10029,P737,,Thinley Norbu,en,,'phrin las nor bu,,Thinley Norbu,'phrin las nor bu,,0,,,,0,,,M,,,https://www.lotsawahouse.org/tibetan-masters/thinley-norbu-rinpoche/,,,
1003,P0RK228,,bla ma cha rgan,bo-x-ewts,,bla ma cha rgan,,bla ma cha rgan,bla ma cha rgan,,0,,,,0,,,M,,,,,,
10030,P7370,,sha bo tshe ring,bo-x-ewts,,sha bo tshe ring,,sha bo tshe ring,sha bo tshe ring,,0,,,,0,,,M,,,,,,
10031,P7371,,rnam rgyal tshe ring,bo-x-ewts,,rnam rgyal tshe ring,,rnam rgyal tshe ring,rnam rgyal tshe ring,,0,,,,0,,,M,,,,,,
10032,P7372,,"kro'u, ya'o then",bo-x-ewts,,"kro'u, ya'o then",,"kro'u, ya'o then","kro'u, ya'o then",,0,,,,0,,,M,,,,,,
10033,P7373,,'od gsal,bo-x-ewts,,'od gsal,,'od gsal,'od gsal,,0,,,,0,,,M,,,,,,
10034,P7374,,dga' ba'i lha,bo-x-ewts,,dga' ba'i lha,,dga' ba'i lha,dga' ba'i lha,,0,,,,0,,,M,,,,,,
10035,P7375,,klu thar rgyal,bo-x-ewts,,klu thar rgyal,,klu thar rgyal,klu thar rgyal,,0,,,,0,,,M,,,,,,
10036,P7376,,bsod nams rdo rje,bo-x-ewts,,bsod nams rdo rje,,bsod nams rdo rje,bsod nams rdo rje,,0,,,,0,,,M,,,,,,
10037,P7377,,tshogs gnyis rab rgyas,bo-x-ewts,,tshogs gnyis rab rgyas,,tshogs gnyis rab rgyas,tshogs gnyis rab rgyas,1965,0,,,,0,,,M,,,,,,
10038,P7378,,mgon po grags pa,bo-x-ewts,,mgon po grags pa,,mgon po grags pa,mgon po grags pa,,0,,,,0,,,M,,,,,,
10039,P7379,,phun tshogs dbang rgyal,bo-x-ewts,,phun tshogs dbang rgyal,,phun tshogs dbang rgyal,phun tshogs dbang rgyal,,0,,,,0,,,M,,,,,,
1004,P0RK229,,'jad pa rin she,bo-x-ewts,,'jad pa rin she,,'jad pa rin she,'jad pa rin she,,0,,,,0,,,M,,,,,,
10040,P738,,'jam dbyangs,bo-x-ewts,,'jam dbyangs,,'jam dbyangs,'jam dbyangs,,0,,,,0,,,F,,,,,,
10041,P7380,,bsod pa,bo-x-ewts,,bsod pa,,bsod pa,bsod pa,,0,,,,0,,,M,,,,,,
10042,P7381,,bsod nams rgyal,bo-x-ewts,,bsod nams rgyal,,bsod nams rgyal,bsod nams rgyal,,0,,,,0,,,M,,,,,,
10043,P7382,,bkra shis chos 'phel,bo-x-ewts,,bkra shis chos 'phel,,bkra shis chos 'phel,bkra shis chos 'phel,1972,0,,,,0,,,M,,,,,,
10044,P7383,,tshe ring don 'grub,bo-x-ewts,,tshe ring don 'grub,,tshe ring don 'grub,tshe ring don 'grub,,0,,,,0,,,M,,,,,,
10045,P7384,,'brug rgyal mkhar,bo-x-ewts,,'brug rgyal mkhar,,'brug rgyal mkhar,'brug rgyal mkhar,,0,,,,0,,,M,,,,,,
10046,P7385,,tshe don,bo-x-ewts,,tshe don,,tshe don,tshe don,,0,,,,0,,,M,,,,,,
10048,P7387,,bu phrug,bo-x-ewts,,bu phrug,,bu phrug,bu phrug,,0,,,,0,,,M,,,,,,
10049,P7388,,gnas brtan,bo-x-ewts,,gnas brtan,,gnas brtan,gnas brtan,,0,,,,0,,,M,,,,,,
1005,P0RK233,,shI la rA dza (tshul khrims rgyal po),bo-x-ewts,,shI la rA dza (tshul khrims rgyal po),,shI la rA dza (tshul khrims rgyal po),shI la rA dza (tshul khrims rgyal po),,0,,,,0,,,M,,,,,,
10050,P7389,,'jam dpal rgya mtsho,bo-x-ewts,,'jam dpal rgya mtsho,,'jam dpal rgya mtsho,'jam dpal rgya mtsho,,0,,,,0,,,M,,,,,,
10051,P739,,bstan 'dzin chos kyi rgyal mtshan,bo-x-ewts,,bstan 'dzin chos kyi rgyal mtshan,,bstan 'dzin chos kyi rgyal mtshan,bstan 'dzin chos kyi rgyal mtshan,1894,0,,,1925,0,,,M,,,,,,
10052,P7390,,ringu tulku,en,,ringu tulku,,ringu tulku,ringu tulku,,0,,,,0,,,M,,,https://www.lotsawahouse.org/tibetan-masters/ringu-tulku-rinpoche/,,,
10053,P7391,,bstan 'dzin phun tshogs,bo-x-ewts,,bstan 'dzin phun tshogs,,bstan 'dzin phun tshogs,bstan 'dzin phun tshogs,,0,,,,0,,,M,,,,,,
10054,P7392,,lo kon krung,bo-x-ewts,,lo kon krung,,lo kon krung,lo kon krung,,0,,,,0,,,M,,,,,,
10055,P7393,,a chos,bo-x-ewts,,a chos,,a chos,a chos,1918,0,,,1998,0,,,M,,,,,,
10056,P7394,,o rgyan dri med,bo-x-ewts,,o rgyan dri med,,o rgyan dri med,o rgyan dri med,,0,,,,0,,,M,,,,,,
10057,P7395,,byams pa rgyal mtshan,bo-x-ewts,,byams pa rgyal mtshan,,byams pa rgyal mtshan,byams pa rgyal mtshan,,0,,,,0,,,M,,,,,,
10058,P7396,,shes rab rnam dag,bo-x-ewts,,shes rab rnam dag,,shes rab rnam dag,shes rab rnam dag,,0,,,,0,,,M,,,,,,
10059,P7397,,kun bzang rgyal mtshan,bo-x-ewts,,kun bzang rgyal mtshan,,kun bzang rgyal mtshan,kun bzang rgyal mtshan,,0,,,,0,,,M,,,,,,
1006,P0RK234,,pakuTTindra ratna (gan pa dbang rin),bo-x-ewts,,pakuTTindra ratna (gan pa dbang rin),,pakuTTindra ratna (gan pa dbang rin),pakuTTindra ratna (gan pa dbang rin),,0,,,,0,,,M,,,,,,
10060,P7398,,zla ba bkra shis,bo-x-ewts,,zla ba bkra shis,,zla ba bkra shis,zla ba bkra shis,,0,,,,0,,,M,,,,,,
10061,P7399,,grags pa rgya mtsho,bo-x-ewts,,grags pa rgya mtsho,,grags pa rgya mtsho,grags pa rgya mtsho,,0,,,,0,,,M,,,,,,
10062,P74,,bsod nams seng+ge,bo-x-ewts,,bsod nams seng+ge,,bsod nams seng+ge,bsod nams seng+ge,,0,,,,0,,,M,,,,,,
10063,P740,,bstan 'dzin rgyal mtshan,bo-x-ewts,,bstan 'dzin rgyal mtshan,,bstan 'dzin rgyal mtshan,bstan 'dzin rgyal mtshan,1894,0,,,1977,0,,,M,,,,,,
10064,P7400,,thub bstan 'phrin las,bo-x-ewts,,thub bstan 'phrin las,,thub bstan 'phrin las,thub bstan 'phrin las,,0,,,,0,,,M,,,,,,
10065,P7401,,aryadeva,en,,aryadeva,,aryadeva,aryadeva,,0,,,,0,,,M,,,,,,
10066,P7402,,bsod nams dar rgyas,bo-x-ewts,,bsod nams dar rgyas,,bsod nams dar rgyas,bsod nams dar rgyas,,0,,,,0,,,M,,,,,,
10068,P7404,Dzogchen Drubwang,Ngedon Tendzin Zangpo,en,rdzogs chen grub dbang,nges don bstan 'dzin bzang po,ངེས་དོན་བསྟན་འཛིན་བཟང་པོ།,"The Third Dzogchen Drubwang, Ngedon Tendzin Zangpo",rdzogs chen grub dbang 03 nges don bstan 'dzin bzang po,1759,0,,,1792,0,,,M,03,,,,,
10069,P7406,,dkon mchog 'phrin las,bo-x-ewts,,dkon mchog 'phrin las,,dkon mchog 'phrin las,dkon mchog 'phrin las,,0,,,,0,,,M,,,,,,
1007,P0RK235,,glo bo rdo rje sprin po,bo-x-ewts,,glo bo rdo rje sprin po,,glo bo rdo rje sprin po,glo bo rdo rje sprin po,,0,,,,0,,,M,,,,,,
10070,P7407,,thub pa tshe ring,bo-x-ewts,,thub pa tshe ring,,thub pa tshe ring,thub pa tshe ring,,0,,,,0,,,M,,,,,,
10071,P7408,,bkra shis don grub,bo-x-ewts,,bkra shis don grub,,bkra shis don grub,bkra shis don grub,1955,0,,,,0,,,M,,,,,,
10072,P7409,,sangs rgyas rgyal,bo-x-ewts,,sangs rgyas rgyal,,sangs rgyas rgyal,sangs rgyas rgyal,,0,,,,0,,,M,,,,,,
10073,P741,,'gyur med rdo rje,bo-x-ewts,,'gyur med rdo rje,,'gyur med rdo rje,'gyur med rdo rje,1896,0,,,1959,0,,,M,,,https://www.lotsawahouse.org/tibetan-masters/adzom-gyalse-gyurme-dorje/,,,
10074,P7410,,'bum skyabs,bo-x-ewts,,'bum skyabs,,'bum skyabs,'bum skyabs,1957,0,,,,0,,,M,,,,,,
10075,P7411,,kro'u ci wun,bo-x-ewts,,kro'u ci wun,,kro'u ci wun,kro'u ci wun,,0,,,,0,,,M,,,,,,
10076,P7412,,pad+ma ne,bo-x-ewts,,pad+ma ne,,pad+ma ne,pad+ma ne,,0,,,,0,,,M,,,,,,
10077,P7413,,amarasimha,en,,amarasimha,,amarasimha,amarasimha,,0,,,,0,,,M,,,,,,
10078,P7414,,"shih, nai an",en,,"shih, nai an",,"shih, nai an","shih, nai an",,0,,,,0,,,M,,,,,,
10079,P7415,,"lo, kuan chung",en,,"lo, kuan chung",,"lo, kuan chung","lo, kuan chung",,0,,,,0,,,M,,,,,,
1008,P0RK236,,glo bo rdo rje 'dzin,bo-x-ewts,,glo bo rdo rje 'dzin,,glo bo rdo rje 'dzin,glo bo rdo rje 'dzin,,0,,,,0,,,M,,,,,,
10080,P7416,,kun rnam,bo-x-ewts,,kun rnam,,kun rnam,kun rnam,,0,,,,0,,,M,,,,,,
10081,P7418,,chos grags,bo-x-ewts,,chos grags,,chos grags,chos grags,,0,,,,0,,,M,,,,,,
10082,P7419,,zhang khrom,bo-x-ewts,,zhang khrom,,zhang khrom,zhang khrom,,0,,,,0,,,M,,,,,,
10083,P742,,Sera Khandro Kunzang Dekyong Wangmo,en,,se ra mkha' 'gro kun bzang bde skyong dbang mo,སེ་ར་མཁའ་འགྲོ་ཀུན་བཟང་བདེ་སྐྱོང་དབང་མོ།,Sera Khandro Kunzang Dekyong Wangmo,se ra mkha' 'gro kun bzang bde skyong dbang mo,1892,0,,,1940,0,,,F,,,https://www.lotsawahouse.org/tibetan-masters/sera-khandro/,,,
10084,P7420,,'bar ba'i rdo rje,bo-x-ewts,,'bar ba'i rdo rje,,'bar ba'i rdo rje,'bar ba'i rdo rje,1836,0,,,1920,0,,,M,,,,,,
10085,P7421,,karma bka' brgyud bkra shis,bo-x-ewts,,ka.rma bka' brgyud bkra shis,,karma bka' brgyud bkra shis,ka.rma bka' brgyud bkra shis,,0,,,,0,,,M,,,,,,
10086,P7422,,pad+ma bdud 'dul rdo rje,bo-x-ewts,,pad+ma bdud 'dul rdo rje,,pad+ma bdud 'dul rdo rje,pad+ma bdud 'dul rdo rje,,0,,,,0,,,M,,,,,,
10087,P7423,,dpal ldan shes rab,bo-x-ewts,,dpal ldan shes rab,,dpal ldan shes rab,dpal ldan shes rab,,0,,,,0,,,M,,,,,,
10088,P7424,,blo bzang don grub,bo-x-ewts,,blo bzang don grub,,blo bzang don grub,blo bzang don grub,,0,,,,0,,,M,,,,,,
10089,P7426,,dge 'dun bstan pa dar rgyas,bo-x-ewts,,dge 'dun bstan pa dar rgyas,,dge 'dun bstan pa dar rgyas,dge 'dun bstan pa dar rgyas,,0,,,,0,,,M,,,,,,
10090,P7427,,byang rig kho,bo-x-ewts,,byang rig kho,,byang rig kho,byang rig kho,,0,,,,0,,,M,,,,,,
10091,P7428,,yum pa,bo-x-ewts,,yum pa,,yum pa,yum pa,,0,,,,0,,,M,,,,,,
10092,P7429,,skal bzang 'phrin las,bo-x-ewts,,skal bzang 'phrin las,,skal bzang 'phrin las,skal bzang 'phrin las,,0,,,,0,,,M,,,,,,
10093,P743,,Botrul Dongak Tenpai Nyima,en,,bod sprul mdo sngags bstan pa'i nyi ma,བོད་སྤྲུལ་མདོ་སྔགས་བསྟན་པའི་ཉི་མ།,Botrul Dongak Tenpai Nyima,bod sprul mdo sngags bstan pa'i nyi ma,1898,0,"1900,1902",,1959,0,,,M,,,https://www.lotsawahouse.org/tibetan-masters/bopa-tulku-dongak-tenpe-nyima/,,,
10094,P7430,,mgon po bkra shis,bo-x-ewts,,mgon po bkra shis,,mgon po bkra shis,mgon po bkra shis,1938,0,,,,0,,,M,,,,,,
10095,P7431,,rdo rje mkhar,bo-x-ewts,,rdo rje mkhar,,rdo rje mkhar,rdo rje mkhar,,0,,,,0,,,M,,,,,,
10096,P7432,,nor rgyas nang pa dbang 'dus tshe ring,bo-x-ewts,,nor rgyas nang pa dbang 'dus tshe ring,,nor rgyas nang pa dbang 'dus tshe ring,nor rgyas nang pa dbang 'dus tshe ring,,0,,,,0,,,M,,,,,,
10097,P7434,,"deng, xaoping",en,,"deng, xaoping",,"deng, xaoping","deng, xaoping",1904,0,,,1997,0,,,M,,,,,,
10098,P7435,,grags pa rgya mtsho,bo-x-ewts,,grags pa rgya mtsho,,grags pa rgya mtsho,grags pa rgya mtsho,,0,,,,0,,,M,,,,,,
10099,P7436,,thang dpon tshe stobs,bo-x-ewts,,thang dpon tshe stobs,,thang dpon tshe stobs,thang dpon tshe stobs,,0,,,,0,,,M,,,,,,
101,P00EGS1017625,,gung srong gung btsan,bo-x-ewts,,gung srong gung btsan,,gung srong gung btsan,gung srong gung btsan,633,0,,,,0,,,,,,,,,
1010,P0RK238,,klu las byung ba'i mkha' 'gro ma,bo-x-ewts,,klu las byung ba'i mkha' 'gro ma,,klu las byung ba'i mkha' 'gro ma,klu las byung ba'i mkha' 'gro ma,,0,,,,0,,,M,,,,,,
10100,P7437,,ye shes dbang mo,bo-x-ewts,,ye shes dbang mo,,ye shes dbang mo,ye shes dbang mo,,0,,,,0,,,F,,,,,,
10101,P7438,,blo bstan,bo-x-ewts,,blo bstan,,blo bstan,blo bstan,,0,,,,0,,,M,,,,,,
10102,P7439,,bsod nams dge legs,bo-x-ewts,,bsod nams dge legs,,bsod nams dge legs,bsod nams dge legs,,0,,,,0,,,M,,,,,,
10103,P744,Shechen Kongtrul,pad+ma dri med,bo-x-ewts,zhe chen kong sprul,pad+ma dri med,,"The First Shechen Kongtrul, pad+ma dri med",zhe chen kong sprul 01 pad+ma dri med,1901,0,,,1960,0,,,M,01,,https://www.lotsawahouse.org/tibetan-masters/shechen-kongtrul/,,,
10104,P7441,,blo bzang don ldan,bo-x-ewts,,blo bzang don ldan,,blo bzang don ldan,blo bzang don ldan,,0,,,,0,,,M,,,,,,
10105,P7442,,tshe dbang rdo rje,bo-x-ewts,,tshe dbang rdo rje,,tshe dbang rdo rje,tshe dbang rdo rje,,0,,,,0,,,M,,,,,,
10106,P7443,,tshe ring dbang 'dus,bo-x-ewts,,tshe ring dbang 'dus,,tshe ring dbang 'dus,tshe ring dbang 'dus,,0,,,,0,,,M,,,,,,
10107,P7444,,thub dga',bo-x-ewts,,thub dga',,thub dga',thub dga',,0,,,,0,,,M,,,,,,
10108,P7445,,chos skyong bkra shis,bo-x-ewts,,chos skyong bkra shis,,chos skyong bkra shis,chos skyong bkra shis,,0,,,,0,,,M,,,,,,
10109,P7446,,dznyA na shrI man,bo-x-ewts,,dznyA na shrI man,,dznyA na shrI man,dznyA na shrI man,,0,,,,0,,,M,,,,,,
1011,P0RK239,,gyal po bi su kalpa (vishukalpa/visukalpa),bo-x-ewts,,gyal po bi su kalpa (vishukalpa/visukalpa),,gyal po bi su kalpa (vishukalpa/visukalpa),gyal po bi su kalpa (vishukalpa/visukalpa),,0,,,,0,,,M,,,,,,
10110,P7447,,ldan lhan sangs rgyas chos 'phel,bo-x-ewts,,ldan lhan sangs rgyas chos 'phel,,ldan lhan sangs rgyas chos 'phel,ldan lhan sangs rgyas chos 'phel,,0,,,,0,,,M,,,,,,
10111,P7448,,bre sran,bo-x-ewts,,bre sran,,bre sran,bre sran,,0,,,,0,,,M,,,,,,
10112,P7449,,tshe ring dpal 'byor,bo-x-ewts,,tshe ring dpal 'byor,,tshe ring dpal 'byor,tshe ring dpal 'byor,,0,,,,0,,,M,,,,,,
10113,P745,,snang mdzad grub pa'i rdo rje,bo-x-ewts,,snang mdzad grub pa'i rdo rje,,snang mdzad grub pa'i rdo rje,snang mdzad grub pa'i rdo rje,1911,0,,,1959,0,,,M,,,,,,
10114,P7450,,"hu, t'an",en,,"hu, t'an",,"hu, t'an","hu, t'an",,0,,,,0,,,M,,,,,,
10115,P7451,,"lo, ping fen",en,,"lo, ping fen",,"lo, ping fen","lo, ping fen",,0,,,,0,,,M,,,,,,
10116,P7452,,bsod nams sgrol dkar,bo-x-ewts,,bsod nams sgrol dkar,,bsod nams sgrol dkar,bsod nams sgrol dkar,,0,,,,0,,,F,,,,,,
10117,P7453,,stobs ldan,bo-x-ewts,,stobs ldan,,stobs ldan,stobs ldan,,0,,,,0,,,M,,,,,,
10118,P7454,,gzhon dpal,bo-x-ewts,,gzhon dpal,,gzhon dpal,gzhon dpal,,0,,,,0,,,M,,,,,,
10119,P7455,,dbang chen stobs rgyal,bo-x-ewts,,dbang chen stobs rgyal,,dbang chen stobs rgyal,dbang chen stobs rgyal,,0,,,,0,,,M,,,,,,
10120,P7456,,ngag dbang blo bzang,bo-x-ewts,,ngag dbang blo bzang,,ngag dbang blo bzang,ngag dbang blo bzang,,0,,,,0,,,M,,,,,,
10121,P7457,,tshul khrims,bo-x-ewts,,tshul khrims,,tshul khrims,tshul khrims,,0,,,,0,,,M,,,,,,
10122,P7458,,rgyal blo,bo-x-ewts,,rgyal blo,,rgyal blo,rgyal blo,,0,,,,0,,,M,,,,,,
10123,P7459,,skal bzang,bo-x-ewts,,skal bzang,,skal bzang,skal bzang,,0,,,,0,,,M,,,,,,
10124,P746,,ngag dbang yon tan rgya mtsho,bo-x-ewts,,ngag dbang yon tan rgya mtsho,,ngag dbang yon tan rgya mtsho,ngag dbang yon tan rgya mtsho,1907,0,,,1959,0,,,M,,,,,,
10125,P7460,,nyi ma rang shar,bo-x-ewts,,nyi ma rang shar,,nyi ma rang shar,nyi ma rang shar,,0,,,,0,,,M,,,,,,
10126,P7461,,rdo rje tshe brtan,bo-x-ewts,,rdo rje tshe brtan,,rdo rje tshe brtan,rdo rje tshe brtan,1961,0,,,,0,,,M,,,,,,
10127,P7462,,"komarovski, iaroslav",en,,"komarovski, iaroslav",,"komarovski, iaroslav","komarovski, iaroslav",,0,,,,0,,,M,,,,,,
10128,P7463,,dam chos dpal bzang,bo-x-ewts,,dam chos dpal bzang,,dam chos dpal bzang,dam chos dpal bzang,1947,0,,,,0,,,M,,,,,,
10129,P7464,,kung phe tsha'e,bo-x-ewts,,kung phe tsha'e,,kung phe tsha'e,kung phe tsha'e,,0,,,,0,,,M,,,,,,
1013,P4CZ15454,,shAkya bshes gnyen,bo-x-ewts,,shAkya bshes gnyen,,shAkya bshes gnyen,shAkya bshes gnyen,,0,,,,0,,,M,,,,,,
10130,P7465,,dbang lags,bo-x-ewts,,dbang lags,,dbang lags,dbang lags,,0,,,,0,,,M,,,,,,
10131,P7466,,gu ru rgyal mtshan,bo-x-ewts,,gu ru rgyal mtshan,,gu ru rgyal mtshan,gu ru rgyal mtshan,1967,0,,,,0,,,M,,,,,,
10132,P7467,,chos skyong tshe ring,bo-x-ewts,,chos skyong tshe ring,,chos skyong tshe ring,chos skyong tshe ring,,0,,,,0,,,M,,,,,,
10133,P7468,,blo bzang rnam rgyal,bo-x-ewts,,blo bzang rnam rgyal,,blo bzang rnam rgyal,blo bzang rnam rgyal,,0,,,,0,,,M,,,,,,
10134,P7469,,gtsug phud dbang rgyal,bo-x-ewts,,gtsug phud dbang rgyal,,gtsug phud dbang rgyal,gtsug phud dbang rgyal,,0,,,,0,,,M,,,,,,
10135,P747,,dpal 'byor lhun grub rdo rje,bo-x-ewts,,dpal 'byor lhun grub rdo rje,,dpal 'byor lhun grub rdo rje,dpal 'byor lhun grub rdo rje,1917,0,,,,0,,,M,,,,,,
10136,P7470,,nam mkha' dbang phyug,bo-x-ewts,,nam mkha' dbang phyug,,nam mkha' dbang phyug,nam mkha' dbang phyug,1777,0,,,,0,,,M,,,,,,
10137,P7471,,ye shes dbang phyug,bo-x-ewts,,ye shes dbang phyug,,ye shes dbang phyug,ye shes dbang phyug,1928,0,,,,0,,,M,,,,,,
10138,P7472,,slob dpon gnag mdog,bo-x-ewts,,slob dpon gnag mdog,,slob dpon gnag mdog,slob dpon gnag mdog,1919,0,,,,0,,,M,,,,,,
10139,P7473,,dechen chime,bo-x-ewts,,bde chen 'chi med,,dechen chime,bde chen 'chi med,,0,,,,0,,,F,,,,,,
10140,P7474,,tashi zangmo,en,,bkra shis bzang mo,,tashi zangmo,bkra shis bzang mo,,0,,,,0,,,F,,,,,,
10142,P7476,,"parfionovich, iurI mikhailovich",en,,"parfionovich, iurI mikhailovich",,"parfionovich, iurI mikhailovich","parfionovich, iurI mikhailovich",,0,,,,0,,,M,,,,,,
10143,P7477,,"dylykova, v.",en,,"dylykova, v.",,"dylykova, v.","dylykova, v.",,0,,,,0,,,M,,,,,,
