tol_id,tbrc_id,primary_name,name_variant,lang_tag
2203,P1062,Zhangton Konchok Pel,Konchok Pel,en
2232,P10646,Kunkyong Lingpa,gter ston o rgyan kun skyong gling pa,bo-x-ewts
2232,P10646,Kunkyong Lingpa,dpa' bo gter ston,bo-x-ewts
2232,P10646,Kunkyong Lingpa,gter chen kun skyong gling pa,bo-x-ewts
2232,P10646,Kunkyong Lingpa,Terchen Orgyen Kunkyong Lingpa ,en
2232,P10646,Kunkyong Lingpa,Pawo Terton ,en
2232,P10646,Kunkyong Lingpa,Terchen Kunkyong Lingpa ,en
2235,P10649,Kelzang Lungrik Gyatso,skal bzang lung rigs rgya   mtsho,bo-x-ewts
2235,P10649,Kelzang Lungrik Gyatso,zam tsha 06 skal bzang lung   rigs rgya mtsho,bo-x-ewts
2235,P10649,Kelzang Lungrik Gyatso,Zamtsa 06 Kelzang Lungrik Gyatso,en
2235,P10649,Kelzang Lungrik Gyatso,Kelzang Lungrik Gyatso,en
2237,P10650,Kelzang Jigme Namkha,skal bzang 'jigs med nam mkha',bo-x-ewts
2237,P10650,Kelzang Jigme Namkha,zam tsha 05 skal bzang 'jigs   med nam mkha',bo-x-ewts
2237,P10650,Kelzang Jigme Namkha,Zamtsa 05 Kelzang Jigme Namkha,en
2237,P10650,Kelzang Jigme Namkha,Kelzang Jigme Namkha,en
2238,P10651,Lobzang Trinle Gyatso,blo bzang 'jigs med rgya mtsho,bo-x-ewts
2238,P10651,Lobzang Trinle Gyatso,zam tsha 03 blo bzang 'jigs   med rgya mtsho,bo-x-ewts
2238,P10651,Lobzang Trinle Gyatso,blo bzang 'phrin las rgya   mtsho,bo-x-ewts
2238,P10651,Lobzang Trinle Gyatso,blo bzang 'phrin las rgya mtsho,bo-x-ewts
2238,P10651,Lobzang Trinle Gyatso,skal ldan 05 blo bzang 'phrin las   rgya mtsho,bo-x-ewts
2238,P10651,Lobzang Trinle Gyatso,Lobzang Trinle Gyatso,en
2238,P10651,Lobzang Trinle Gyatso,Lobzang Jigme Gyatso,en
2238,P10651,Lobzang Trinle Gyatso,Zamtsa Sertri 03 Lobzang Jigme Gyatso,en
2238,P10651,Lobzang Trinle Gyatso,Lobzang Trinle Gyatso,en
2238,P10651,Lobzang Trinle Gyatso,Kelden 05 Lobzang Trinle Gyatso,en
2280,P1069,Yeshe Rinchen,shar pa ye shes rin chen,bo-x-ewts
2280,P1069,Yeshe Rinchen,ti shrI 04 ye shes rin chen,bo-x-ewts
2280,P1069,Yeshe Rinchen,dus 'khor ba ye shes rin chen,bo-x-ewts
2280,P1069,Yeshe Rinchen,Sharpa Yeshe Rinchen,en
2280,P1069,Yeshe Rinchen,Dukorwa Yeshe Rinchen,en
2280,P1069,Yeshe Rinchen,Tishri 04 Yeshe Rinchen,en
2314,P1072,Rinchen Gyeltsen,lo tsA ba ban+de rin chen rgyal mtshan/,bo-x-ewts
2314,P1072,Rinchen Gyeltsen,ban+de rin chen rgyal mtshan/,bo-x-ewts
2314,P1072,Rinchen Gyeltsen,sa skya khri 'dzin 07 rin chen   rgyal mtshan,bo-x-ewts
2314,P1072,Rinchen Gyeltsen,slob dpon rin chen rgyal mtshan,bo-x-ewts
2314,P1072,Rinchen Gyeltsen,Lotsāwa Bande Rinchen Gyeltsen,en
2314,P1072,Rinchen Gyeltsen,Sakya Tridzin 07 Rinchen Gyeltsen,en
2314,P1072,Rinchen Gyeltsen,Bande Rinchen Gyeltsen,en
2314,P1072,Rinchen Gyeltsen,Lobpon Rinchen Gyeltsen,en
2327,P1078,Lobzang Donyo,phen po blo bzang don yod,bo-x-ewts
2327,P1078,Lobzang Donyo,blo bzang dar,bo-x-ewts
2327,P1078,Lobzang Donyo,dga' ldan khri chen 42 blo bzang don yod,bo-x-ewts
2327,P1078,Lobzang Donyo,rnam dag rdo rje,bo-x-ewts
2327,P1078,Lobzang Donyo,blo bzang don yod,bo-x-ewts
