Name ,TOL ID,Root Community ID,Root Community Type,Wylie,Name Variants,Chinese,Description,BDRC ID,Members - Person ID
Bochung,TOL47,4,Clan,bo chung,,,"<p> The Bochung clan is a sub-clan of the Mukpo clan. The <a href=""/biographies/view/First-Dodrubchen-Jigme-Trinle-Ozer/TBRC_P293"">First Dodrubchen, Jigme Trinle Ozer</a> was born into the Bochung clan.</p>",C11MS131,
Chakdu Nyarong,TOL1011,4,Clan,lcags mdud nyag rong,,,"<p> The Chakdu Nyarong family from Kham is associated with the Nyingma tradition. The First Tsopu Drubchen, <a href=""/biographies/view/Choying-Rangdrol/TBRC_P6010"">Choying Rangdrol</a>, was from this family.&nbsp;</p>",,8583
Chakgong,TOL211,4,Clan,lcag gong,,,"<p> A clan probably from Kham. <a href=""/biographies/view/Dzongsar-Khyentse-Chokyi-Lodro/TBRC_P733"">Dzongsar Khyentse Chokyi Lodro,</a> born in Derge in Kham, was of the Chakgong clan.</p>",C-NUMBER,9990
Chakhung,TOL605,4,Clan,lcag khung,,,"<p> The Chakhung is a clan from Golok. Khenpo <a href=""/biographies/view/Jigme-Puntsok/TBRC_P7774"">Jigme Puntsok</a> was born to the Chakhung clan in Dokhok, Golok region in 1933.</p>",C11MS197,10457
Che,TOL46,4,Clan,lce,,,"<p> The Che were one of the eighteen divisions of the ancestral clan of Go. During Tibet&#39;s imperial period, members of the Che were ministers and translators. Another prominent member was&nbsp;<a href=""/biographies/view/Chetsun-Sherab-Jungne/TBRC_p1...",C11MS198,495; 13456
Chim,TOL666,4,Clan,mchims,chims,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">The Chim were a powerful clan during the time of the Yarlung dynasty. In pre-imperial times, there were said to be 12 ki...",C80,
Cho,TOL659,4,Clan,,,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">The clan of Cho lived in the <a href=""/geographies/view/Amnye-Machen/TBRC_G3214"">Amnye Machen</a> region known as Trika ...",C-NUMBER,
Chungpa,TOL147,4,Clan,gcung pa,,,"<p> A clan in Tibet that was in existence by at least the 12th century. <a href=""/biographies/view/Lorepa-Wangchuk-Tsondru/TBRC_P4252"">Lorepa Wangchuk Tsondru</a> <span class=""biog-date-small"">(b.1187 - d.1250) </span>was of the Lonang branch of the Chu...",C-NUMBER,
Dak,TOL281,4,Clan,dwags,,,"<p> A clan from pre-imperial times. Before the time of the Yarlung dynasty, there were said to be 12 kingdoms or principalities. The Dak or Dakpo clan controlled one of these principalities called Dakyul Semo Druzhi. During Songtsen Gampo&#39;s time, th...",C11MS184,3168; 8868
Dawa,TOL51,4,Clan,zla ba,,,"<p> According to the Golok Clan History, the Dawa or Da is one of the six original clans. These are the great clans of Se, Mu, Dong and Tong and the so-called inferior clans of Ba and Da. All the ordinary people are said to derive from the lines of Ba a...",C-NUMBER,9612
Den Atub Tsang,TOL967,4,Clan,dan a thub tshang,,,"<p> The Den Atub Tsang family was from the town of Den in Kham. Brothers <a href=""/biographies/view/Jikdrel-Tsewang-Dorje/TBRC_P3AG42"">Jikdrel Tsewang Dorje</a> and&nbsp;<a href=""/biographies/view/Rangjung-Rigpai-Dorje/TBRC_P865"">Rangjung Rigpai Dorje</...",,11385; 13152
Denma,TOL658,4,Clan,ldan ma,,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">The Denma clan originated in the time of the Yarlung dynasty, during the reign of Tibet&#39;s Eighth King Tri Songdetsen...",C-NUMBER,
Depa Tonpo,TOL606,4,Clan,,,,"<p> The Depa Tonpo clan ruled over other families in the Uru Penpo region during the seventeenth century. The <a href=""/biographies/view/First-Zhechen-Rabjam,-Tenpai-Gyeltsen/TBRC_P661"">First Zhechen Rabjam, Tenpai Gyeltsen</a>, was born into this famil...",C11MS219,9213
Dilgo,TOL975,4,Clan,dil mgo,,,"<p> The Dilgo family was based in the Derge region of Kham. The family claimed descent from King Tri Songdetsen. They were a main supporter of <a href=""/biographies/view/Jamyang-Khyentse-Wangpo/TBRC_p258"">Jamyang Khyentse Wangpo</a>, whose reincarnation...",,8825
Dong,TOL131,4,Clan,ldong,,,"<p> One of the Four Great Ancestral Clans along with Se, Mu and Tong (Sekhyung Dra, Mutsa Ga and Athang Dru, respectively) or the Five Great Ancestral Clans if Zhingbo Go is included. According to the Treasure of the Ancestral Clans of Tibet, Dong is fu...",C71,6110
Dra,TOL619,4,Clan,sbra,,,"<p> Also known as Sekhyung Dra. One of the Four Great Ancestral Clans with Mutsa Ga, Apo Dong and Athang Dru (and one of the Five Great Ancestral Clans if Zhingbo Go is also included). The ancestral clan Dra is composed of: Drakar, Dratra and the Dranak...",C11MS169,2980
Drangti,TOL820,4,Clan,,,,"<p> The Drangti clan originated during the Yarlung dynasty, during the time of Tibet&#39;s Eighth King Trisong Detsen. During the sixteenth and seventeenth century the Drangti controlled the Tartse Labrang of<a href=""/geographies/view/-Ngor-Monastery/TB...",C11MS171,7718; 10452
Dre,TOL54,4,Clan,bre,,,"<p> <a href=""/biographies/view/Gyelwai-Lodro/TBRC_P3AG58"">Gyelwai Lodro</a>, counted as one of Padmasambhava's twenty-five disciples, belonged to this clan.&nbsp;We do not have any more information about this clan.&nbsp;</p>",C11MS172,13057
Drenka,TOL69,4,Clan,bran ka,,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">The Drenka clan originated in the Yarlung dynasty period, in the reign of Tibet&#39;s fortieth King <a href=""/biographie...",C11MS170,
Dro,TOL264,4,Clan,gro,,,"<p> One of the most important and early clans, the aristocratic Dro were based in the border area east of Kokonor. The Empress Trimalo Triteng or Trimolek (khri mo legs), the de facto regent of the Tibetan empire in the latter half of the 7th century, w...",C11MS186,3957; 9590; 13509
Drokmi,TOL166,4,Clan,brog mi,Drogmi;,,"<p> The Drokmi clan dates back to the time of the Yarlung dynasty. <span class=""biog-name-large""><a href=""/biographies/view/Drokmi-Pelgyi-Yeshe/TBRC_P8402"">Drokmi Pelgyi Yeshe</a> was born into this clan in the eighth</span><span class=""biog-date-small""...",C11MS173,5615; 11117; 13077
Drom,TOL238,4,Clan,brom,,,"<p> The Drom were one of the 18 divisions of the ancestral clan of Go. They were to be found in Tolung in central Tibet. <span class=""biog-name-large""><a href=""/biographies/view/Dromton-Gyelwa-Jungne/TBRC_P2557"">Dromton Gyelwa Jungne</a> </span><span cl...",C11MS136,4267; 8730; 10687
Dru ('bru),TOL1156,4,Clan,bru,,,"<p> The Dru clan dates back to the time of its early ancestor Dru Takgo. The Nangchen royal family belongs to this clan. The originator of the family, <a href=""/biographies/view/Trewo-Alu/TBRC_P1TD30"">Trewo Alu</a>, is considered to be the forty-fourth ...",,10561; 13572
Dru ('dru),TOL607,4,Clan,dru,,,"<p> The Dru clan is one of the six early clans of Tibet. Dru was an important family of Bon supporters believed to have originated in Drusha (Gilgit), which was annexed by Tibet for a time beginning in the eighth century. The Dru palace, Namtong, was lo...",C11MS141,2180; 13135; 13174
Drumpa,TOL1519,4,Clan,bhruM pa,Trumpa; Dakpo Drumpa,,"<p> The Drumpa family, also known as Dakpo Drumpa, was originally from the Dakpo region where they managed large estates. They also had a home in Lhasa located south of the Jokhang.The Thirteenth Dalai Lama&#39;s elder brother, <a href=""/biographies/vie...",C31,9289; 13722
Dzeng,TOL622,4,Clan,dzeng,,,"<p> We do not have much information on the Dzeng clan.&nbsp;<a href=""/biographies/view/Gonpawa-Wangchuk-Gyeltsen/TBRC_P1322"">Gonpawa Wangchuk Gyeltsen</a>&nbsp;was born into a family from the Dzeng clan in Kham in the eleventh century.</p>",C11MS185,2598
Ga (dga'),TOL1040,4,Clan,dga',,,"<p> The Ga clan descends from Ga Yeshe Dargye (d.u.), a minister of <a href=""/biographies/view/Tri-Relpachen/TBRC_ P2MS13218"">Tri Relpachen</a>. According to tradition, he was dispatched to Amdo to settle the areas around Ngawa, Zungchu and Dzoge with a...",,3072; 6331; 6334; 6335; 6336; 6337; 6338; 6339; 6341; 6342; 6343; 6344; 6345; 6346; 6348; 6349; 6350; 6353; 13502; 13550
Ga (rgwa),TOL623,4,Clan,rgwa,,,"<p> We do not have much information about this clan. The Ga clan&#39;s most prominent member was the important translator <a href=""/biographies/view/Ga-Lotsawa-Zhonnu-Pel/TBRC_P3674"">Ga Lotsawa Zhonnu Pel</a>, who was born in Amdo in the early twelfth c...",C11MS207,6037
Gar,TOL675,4,Clan,mgar,,,"<p> The Gar (also spelled as &#39;gar) clan originate from the ministers of Newo Trana, one of the twelve kingdoms of pre-imperial Tibet. During the imperial Pugyel period, <a href=""/biographies/view/-Gar-Tongtsen/TBRC_P8117"">Gar Tongtsen</a>&nbsp;was a...",C63,8460; 8571; 10824
Gar Ratsang,TOL220,4,Clan,mgar ra tsang,,,"<p> The Gar Ratsang clan claims descent from <a href=""/biographies/view/Gar-Tongtsen/TBRC_P8117"">Gar Tongtsen</a>, the eminent minister of the seventh century <a href=""/biographies/view/King-Songtsen-Gampo/TBRC_P8067"">King Songtsen Gampo</a>.&nbsp;<span...",C-NUMBER,10315; 13072; 13598
Gazi,TOL79,4,Clan,ga zi,,,"<p> The Gazi were a clan in Kham. <span class=""biog-name-large""><a href=""/biographies/view/Taklungtangpa-Tashi-Pel/TBRC_P2649"">Taklungtangpa Tashi Pel</a> </span><span class=""biog-date-small"">(b.1142 - d.1209/1210</span>) and <span class=""biog-name-larg...",C-NUMBER,3101; 4368
Getse,TOL55,4,Clan,dge rtse,,,"<p> A sub clan originating from the <a href=""/communities/view/Dong/TBRC_C71 "">Dong</a> ancestral clan. It is said that an ancestor called Getse had three sons called Ma, Lag and Thong who each had their own descendants. Getse Pontsang, also known as La...",C2CN10983,9579
Go ('gos),TOL664,4,Clan,gos,mgos,,"<p> The Go clan dates from the imperial Yarlung period. The area they settled in is present-day Chingra in Chonggye Dzong, Lhokha in southern Tibet. During the Yarlung period, <a href=""/biographies/view/King-Tri-Songdetsen/TBRC_P7787"">King Tri Songdetse...",C-NUMBER,5500; 5803
Go (sgo),TOL176,4,Clan,sgo,Go Lharik; Lharik Go;,,"<p> One of the Five Great Ancestral Clans with Sekhyung Dra, Mutsa Ga, Apo Dong and Athang Dru. The Go Lharik, meaning the heavenly line of the Go, were identified as the indigenous inhabitants of Do-khams. The Go split into eighteen divisions: Gar, Key...",C11MS220,9372; 13132; 13140
Gung,TOL609,4,Clan,gung,,,"<p> The Gung was one of four families -- Shar, Nub, Gung, and Khangsar -- that were aligned with Sakya Monastery but which did not descend from the Khon clan.</p>",C-NUMBER,
Gurib,TOL624,4,Clan,gu rib,,,"<p> The Gurib was a clan of Zhangzhung, a kingdom that flourished in western Tibet until it was annexed by the Tibetan emperor Songtsen Gampo in the seventh century. The Gurib clan, which continues to this day, branched off from the ancestral <a href=""/...",C-NUMBER,13164
Gya,TOL86,4,Clan,rgya,,,"<p> The Gya is a highly regarded clan based in the Nyang region of Tsang.<span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 13px; white-space: pre-wrap;""> </span><span style=""color: rgb(0, 0, 0); font-family: arial, sans,...",C1TD33,3028; 4348; 4350; 4352; 7622; 8637; 10857; 11056; 11865; 11909; 11942; 11986; 13078
Gyakong Shedrubtsang,TOL966,4,Clan,rgya kong bshad sgrub tshang,,,"<p> Gyakong Shedrubtsang, a household from Kham near <a href=""/geographies/view/Dzogchen-Monastery/TBRC_G16"">Dzogchen Monastery</a>, was the family of the <a href=""/biographies/view/Fourth-Dzogchen-Ponlob,-Jigme-Choying-Osel/TBRC_P2JM276"">Fourth Dzogche...",,4987
Gyamo,TOL678,4,Clan,rgya mo,,,"<p> We do not have much information about the Gyamo clan. The clan&#39;s most prominent member was <a href=""/biographies/view/Machik-Ongjo/TBRC_P5898"">Machik Ongjo</a>, a female lineage holder of the Rechung Nyengyum, who was born in Uyuk in the twelfth...",C-NUMBER,8459
Gyanak Rawa,TOL1067,4,Clan,rgya nag ra ba,,,"<p> The Gyanak Rawa family is associated with Pelyul monastery in Kham. Pelyul&#39;s founder <a href=""/biographies/view/Rigdzin-Kunzang-Sherab/TBRC_P655"">Rigdzin Kunzang Sherab</a> was from this family.&nbsp;</p>",,7681
Gyangkhar,TOL685,4,Clan,gyang khar,rgyang mkhar,,"<p> The Gyangkhar clan is descended from a famous minister and advisor to the Derge royal family. The First Dzogchen Kongtrul, <a href=""/biographies/view/Konchok-Tenpai-Gyeltsen/TBRC_P3AG38"">Konchok Tenpai Gyeltsen</a>, belongs to this clan.</p>",C-NUMBER,
Gyer,TOL83,4,Clan,dgyer,,,"<p> The Gyer clan, an important family of hereditary chiefs in the Yarlung Valley, controlled the <a href=""/geographies/view/Trandruk-temple/TBRC_G2820"">Trandruk temple</a>, which along with <a href=""/geographies/view/Samye/TBRC_G287"">Samye</a> and <a h...",C11MS182,5
Gyu,TOL201,4,Clan,rgyus,,,"<p> We do not have much information about the Gyu clan. The Gyu&#39;s most prominent member was the thirteenth century disciple of Karma Pakshi, <a href=""/biographies/view/Orgyenpa-Rinchen-Pel/TBRC_P1448"">Orgyenpa Rinchen Pel</a>, from whom the Orgyen N...",C11MS208,2733
Ja,TOL239,4,Clan,bya,,,"<p> The Ja clan was already in existence during the Pugyel dynasty. <a href=""/biographies/view/Chekhawa-Yeshe-Dorje/TBRC_P3447"">Chekhawa Yeshe Dorje</a> and <a href=""/biographies/view/Drukchen-Jamyang-Chodrak/TBRC_P870"">Drukchen Jamyang Chodrak</a> were...",C11MS175,5791; 11441
Jadra,TOL973,4,Clan,ja sbra,,,<p> The Jadra was a prominent clan in Derge. Ministers for the kingdom were drawn from the Jadra clan.</p>,,
Jampel Dechenling,TOL1550,4,Clan,jam dpal bde chen gling,Jampel Lingpa; Jamling; 'jam dpal gling pa; 'jam gling,,"<p> The Jampel Dechenling family was a prominent family of the Drapu region of Kyirong. They trace their descent from Go Pema Guntsen (&#39;gos padma gung btsan), a minister of Tri Songdetsen. The family controlled Drapu Choling Monastery in Kyirong for...",,
Janak,TOL161,4,Clan,bya nag,,,"<p> We do not have much information about the Janak clan. One of the clan&#39;s most prominent members was&nbsp;<span class=""biog-name-large"">The Fourth Dorje Drak Rigdzin, <a href=""/biographies/view/Pema-Trinle/TBRC_P657"">Pema Trinle</a></span>, born i...",C11MS176,9169
Ju,TOL647,4,Clan,ju,,,"<p> According to the bod kyi gdung rus zhib &#39;jug, this clan originated during the time of Sakya rule in Tibet which began in the mid-thirteenth century and ended about a hundred years later. <a href=""/biographies/view/Ju-Mipam-Gyatso/TBRC_P252"">Ju M...",C11MS193,4228
Khangsar,TOL84,4,Clan,khang gsar,Trehor Khangsar; tre hor khang gsar,,"<p> Khangsar, literally meaning &#39;new house,&#39; &nbsp;is a family of the Begu clan, which is a branch of the Gyer clan. They are based in the Ganze region of Kham, and are sometimes referred to as the Trehor Khangsar.</p>",C1AG86,5
Kharchen,TOL162,4,Clan,mkhar chen,,,"<p> A clan from the time of the Pugyel period. <span class=""biog-name-large""><a href=""/biographies/view/Kharchen-Pelgyi-Wangchuk/TBRC_P0RK1217"">Kharchen Pelgyi Wangchuk</a> from the 8th century was born into this clan</span>. Some traditions say that he...",C-NUMBER,490
Kheme,TOL1078,4,Clan,khe smad,Khemey; Kunsangtse; Kunzangtse,,"<p> The Kheme clan is also known as Kunsangtse, the name of their Lhasa manor house. This aristocratic family had close ties with the government since the time of the Fifth Dalai Lama.</p>",C17,3152
Khon,TOL184,4,Clan,khon,,,"<p> Also known as the Sakya clan, the Khon clan came into existence around the end of the Yarlung dynasty. The Khon developed the Sakya tradition in the eleventh century in the place called Sakya due to the pale soil of the valley. <a href=""/biographies...",C69,1370; 1974; 2314; 2491; 2915; 2916; 2919; 3189; 3191; 3194; 3204; 3208; 3211; 4220; 4327; 6100; 7053; 7545; 9062; 10536; 10591; 13186
Khyungpo,TOL200,4,Clan,khyung po,,,"<p> The Khyungpo clan dates back at least to the Yarlung Dynasty, as a number of royal priests to the Yarlung kings were from the Khyungpo clan. The origin myth of the clan goes back to a legendary ancestor, the Great Eagle (<em>khyung chen</em>), an em...",C11MS134,3178; 6285; 10644; 13081; 13088
Kyasu,TOL625,4,Clan,skya su,,,"<p> A clan, likely in Kham. <a href=""/biographies/view/Chokgyur-Lingpa/TBRC_P564"">Chokgyur Lingpa</a>, one of the most prolific treasure revealers of the nineteenth century, was born to the Kyasu clan.</p>",C11MS223,8181
Kyi,TOL153,4,Clan,kyi,,,"<p> A clan that may have been in the region of Dra. <span class=""biog-name-large""><a href=""/biographies/view/Kharakpa-Dulwa-O/TBRC_P2202"">Kharakpa Dulwa O</a> was born into this clan in the 12th century. </span></p>",C-NUMBER,3881
Kyo,TOL548,4,Clan,skyod,,,"<p> <a href=""/biographies/view/Kyoton-Monlam-Tsultrim/TBRC_P1219"">Kyoton Monlam Tsultrim</a> was born into the Kyo clan at a place named Tanakyang (rta nag yang), in U (dbus), in 1219.</p>",C11MS224,2483
Kyuchok,TOL674,4,Clan,khyu mchog,,,"<p> The <a href=""/biographies/view/Third-Hortsang-Sertri,-Jigme-Rigpai-Sengge/TBRC_P4129"">Third Hortsang Sertri, Jigme Rigpai Sengge</a> was born into the Kyuchok clan in the Hortsang region of eastern Amdo in 1747.</p>",C11MS195,
Kyura,TOL81,4,Clan,skyu ra,,,"<p> An illustrious clan from Tsungu (tsu ngu) in Kham that claims descent from <a href=""/biographies/view/King-Relpachen/TBRC_P2MS13218"">King Relpachen</a>. It was <a href=""/biographies/view/Jikten-Gonpo-Rinchen-Pel/TBRC_P16"">Jikten Gonpo Rinchen Pel</a...",C-NUMBER,620; 2584; 2774; 2899; 3902; 3903; 3904; 3906; 3907; 7038; 7040; 7523; 13230; 13242; 13449; 13451
Lang,TOL626,4,Clan,rlangs,,,"<p> <span style=""font-family: arial; font-size: small;"">Lang is an aristocratic clan whose genealogical account Potiseru (po ti bse ru) tells of the clan&#39;s mythic and divine origins. The Lang is descended from the Dra clan, one of the four great Tib...",C11MS142,96; 2539; 2595; 13437
Lasum,TOL53,4,Clan,la gsum,,,"<p> Lasum is a clan from at least the Pugyel period. <a href=""/biographies/view/Lasum-Gyelwa-Jangchub/TBRC_P00EGS1017608"">Lasum Gyelwa Jangchub</a><span class=""biog-name-large"">, a religious minister of King <span class=""biog-name-large"">Tri Songdetsen<...",C11MS196,84
Len,TOL627,4,Clan,glan,,,"<p> <a href=""/biographies/view/Yungton-Dorje-Pel/TBRC_P1454"">Yungton Dorje Pel</a>, a disciple of the Third Karmapa, Dusum Khyenpa and considered by Geluk tradition to be the seventh predecessor in the incarnation line of the Panchen Lamas, was born int...",C11MS189,2740
Lhalung,TOL665,4,Clan,lha lung,,,"<p> The Lhalung clan was in existence during the Yarlung dynasty. The last king of the Yarlung dynasty, Tri Udumtsen, better known as <a href=""http://treasuryoflives.org/biographies/view/Langdarma/P2MS13219"">Langdarma</a>, is said to have been assassina...",C-NUMBER,9618; 13628; 13683; 13725
Lingme,TOL72,4,Clan,gling smad,,,"<p> A clan in Tibet that branched off of the Ling or Lingtsang clan, deriving from the legendary mythic hero Ling Gesar. <a href=""/biographies/view/Lingrepa-Pema-Dorje/TBRC_P910"">Lingrepa Pema Dorje</a><span> </span>was born into the Lingme family in 11...",,11877
Lingmo,TOL460,4,Clan,gling mod,,,"<p> The Lingmo clan is said to have descended from Ling Gesar, the legendary epic hero&nbsp;<span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 13px; white-space: pre-wrap;"">who is said to have lived around the time after ...",C-NUMBER,8069
Lingtsang,TOL71,4,Clan,gling tshang,,,"<p> A clan in Derge, Kham. The First Lingla, <a href=""/biographies/view/Sonam-Jinpa/TBRC_P8701"">Sonam Jinpa</a> was born to the Ling or Lingtsang family in Dzagyud Troshul (rdza rgyud khro shul) in Kham around the year 1767. The Ling clan is that of Lin...",C2CN11016,
Lomi,TOL77,4,Clan,lo mi,,,"<p> The Lomi clan includes among its members&nbsp;<a href=""/biographies/view/Rokam-Nyima-Sherab/TBRC_P2470"">Rokam Nyima Sherab</a>, who&nbsp;was born in 1139 in Lakyi Pulung Nyangkhang of U.</p>",C11MS199,4175; 6578
Lonang,TOL148,4,Clan,lo nang,,,"<p> A branch of the Chungpa clan. In the 12th century, <a href=""/biographies/view/Lorepa-Wangchuk-Tsondru/TBRC_P4252"">Lorepa Wangchuk Tsondru</a> was born into the Lonang branch in the Ngamsho (ngam shod) region of Tibet.</p>",C-NUMBER,6671
Ma,TOL171,4,Clan,rma,,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 13px; white-space: pre-wrap;"">The Ma clan came into existence during Tibet&#39;s Yarlung dynasty</span>. <span class=""biog-name-large""><a href=""/biographies/view/Ma-R...",C-NUMBER,5234
Me,TOL629,4,Clan,me,,,"<p> <a href=""/biographies/view/Yorpo-Mepel/TBRC_P3AG6"">Yorpo Mepel</a> in the 12th century was born into the Me clan in the Yorpo (g.yor po) region of Lhokha, southern Tibet.</p>",C11MS201,13090
Menge,TOL56,4,Clan,man dge,,,"<p> The Menge clan was based in Kham. <a href=""/biographies/view/Jigme-Gyelwai-Nyugu/TBRC_p695"">Jigme Gyelwai Nyugu</a> was born into this clan.</p>",,9579
Meu,TOL628,4,Clan,rme'u,,,"<p> The Me&#39;u clan originated from the ministers of Nubyul, the land of the Nub, one of the 12 kingdoms during Tibet&#39;s pre-imperial age in what would be the present-day Rinpung area in west-central Tibet. Beginning in the 11<sup>th</sup> century,...",C11MS209,12096; 13079
Mu,TOL667,4,Clan,rmu,,,"<p> Also smu and dmu.&nbsp;<span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">One of the four original Tibetan ancestral clans. The Mu ancestral clan claims Muje Kolpo (rmu rj...",C11MS138,
Mukpo,TOL630,4,Clan,smug po ldong,,,<p> Mukpo or Mukpo Dong is one of four branches of the ancient Dong clan. The Mukpo claim decent from Gesar of Ling. &nbsp;Mukpo descendents are particularly associated with the Kham region.</p>,C11MS133,4425; 4676; 9355; 9588; 11231
Naktso,TOL579,4,Clan,nag tsho,,,"<p> A clan in Tibet that was around at least by the time following the fall of the Pugyel dynasty. <a href=""/biographies/view/Naktso-Lotsāwa-Tsultrim-Gyelwa/TBRC_P3456"">Naktso Lotsāwa Tsultrim Gyelwa</a> of Naktso clan was born in 1011 in a place call...",,5801
Namseling,TOL582,4,Clan,rnam sras gling,,,"<p> The Namseling family was based at <a href=""/geographies/view/Monkhar-Namseling/TBRC_G2813"">Monkhar Namseling</a> in Dranang, seat of the Namseling Zhamar incarnation line. The Namseling family oversaw a large estate with monastery of the same name l...",C11MS210,9169; 13190
Nanam,TOL163,4,Clan,sna nam,,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 12.727272033691406px; white-space: pre-wrap;"">King Trisong Detsen&#39;s mother, Mangmoje Shiteng, was from the Nanam clan. Bod kyi gdung rus zhib &#39;jug notes that ...",C-NUMBER,303; 3182; 10904
Ngen,TOL152,4,Clan,rngan,,,"<p> The Ngen clan&#39;s most prominent member was&nbsp;<span class=""biog-name-large""><a href=""/biographies/view/Parpuwa-Lodro-Sengge/TBRC_P3785"">Parpuwa Lodro Sengge</a>,&nbsp;born in the </span><span class=""biog-date-small"">12th century in central Tibe...",C11MS211,6159
Ngenlam,TOL57,4,Clan,ngan lam,,,"<p> The Ngenlam clan originated in the Ngenlam region in Uru Penyul Valley, north of Lhasa. Among its early sons were <span class=""biog-name-large""><a href=""/biographies/view/Takdra-Lukong/TBRC_P10MS16952"">Takdra Lukong</a>, who served the Tibetan empir...",TOL57,4903; 13198
Ngoje,TOL714,4,Clan,ngor rje,,,<p> The Ngoje clan&nbsp;</p>,C-NUMBER,2606
Ngok,TOL66,4,Clan,rngog,,,"<p> <span style=""color: rgb(0, 0, 0); font-family: arial, sans, sans-serif; font-size: 13px; white-space: pre-wrap;"">The Ngok clan originated during the time of the Pugyel dynasty&#39;s 36th King Dusong Mangpo Je. </span>The Ngok clan, which associated ...",C11MS119,3773; 4261; 5728; 5789; 11471; 13061
Ngulchu,TOL634,4,Clan,dngul chu,,,"<p> The Ngulchu clan claims as members <a href=""/biographies/view/Ngulchu-Dharmabhadra/TBRC_P289"">Ngulchu Dharmabhadra</a> and his nephew <a href=""/biographies/view/Yangchen-Drupai-Dorje/TBRC_P268"">Yangchen Drupai Dorje</a> who were both born in Tsang Y...",C11MS183,4402
